Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,PFC,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.35,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 18E103391,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/3/2018,10:13.0,27.056,741.5,121.4,9.67,77.4,8.43,121.3,0.92,0,0,0,0,0.14
8/3/2018,10:13.3,27.055,741.5,121.6,9.68,77.3,8.43,121.3,0.91,0,0,0,0,0.143
8/3/2018,10:13.5,27.055,741.5,121.7,9.69,77.3,8.43,121.4,0.9,0,0,0,0,0.144
8/3/2018,10:13.8,27.055,741.5,121.9,9.71,77.2,8.42,121.4,0.91,0,0,0,0,0.148
8/3/2018,10:14.0,27.055,741.5,121.9,9.71,77.2,8.42,121.4,0.91,0,0,0,0,0.148
8/3/2018,10:14.2,27.056,741.5,122,9.71,77.2,8.42,121.4,0.9,0,0,0,0,0.149
8/3/2018,10:14.5,27.056,741.5,122.1,9.72,77.1,8.42,121.4,0.9,0,0,0,0,0.15
8/3/2018,10:14.8,27.056,741.5,122.2,9.73,77.1,8.42,121.4,0.89,0,0,0,0,0.152
8/3/2018,10:15.0,27.055,741.5,122.3,9.73,77.1,8.42,121.4,0.89,0,0,0,0,0.154
8/3/2018,10:15.3,27.054,741.5,122.4,9.74,77.1,8.42,121.5,0.89,0,0,0,0,0.155
8/3/2018,10:15.5,27.053,741.5,122.5,9.75,77,8.41,121.5,0.88,0,0,0,0,0.157
8/3/2018,10:15.8,27.051,741.5,122.6,9.76,77,8.41,121.5,0.88,0,0,0,0,0.16
8/3/2018,10:16.0,27.051,741.5,122.6,9.76,77,8.41,121.5,0.88,0,0,0,0,0.16
8/3/2018,10:16.3,27.051,741.4,122.7,9.77,77,8.41,121.6,0.88,0,0,0,0,0.162
8/3/2018,10:16.5,27.051,741.4,122.8,9.77,76.9,8.41,121.6,0.88,0,0,0,0,0.163
8/3/2018,10:16.7,27.05,741.4,122.8,9.78,76.9,8.4,121.7,0.88,0,0,0,0,0.164
8/3/2018,10:17.0,27.05,741.4,122.9,9.78,76.9,8.4,121.7,0.87,0,0,0,0,0.166
8/3/2018,10:17.3,27.05,741.5,123,9.79,76.9,8.4,121.7,0.87,0,0,0,0,0.168
8/3/2018,10:17.5,27.049,741.5,123.1,9.8,76.9,8.4,121.7,0.87,0,0,0,0,0.169
8/3/2018,10:17.8,27.048,741.5,123.2,9.8,76.8,8.4,121.8,0.86,0,0,0,0,0.173
8/3/2018,10:18.0,27.048,741.5,123.2,9.8,76.8,8.4,121.8,0.86,0,0,0,0,0.173
