Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,149,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.55,,,,,,,,,,,
ODO,1, 18D104460,3.0.0,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/7/2018,41:38.7,25.785,742.4,81.6,6.64,188.2,8.31,-5.7,7.17,3.154,3.15,5.36,21.44,2.089
9/7/2018,41:39.0,25.766,742.4,81.5,6.64,188.4,8.16,-6,7.14,3.129,3.13,5.36,21.44,2.089
9/7/2018,41:39.3,25.766,742.4,81.5,6.64,188.4,8.16,-6,7.14,3.129,3.13,5.36,21.44,2.089
9/7/2018,41:39.5,25.74,742.4,81.5,6.63,188.9,8.04,-18.3,7.06,1.461,1.46,6.819,27.27,2.107
9/7/2018,41:39.8,25.723,742.4,81.4,6.63,189.2,8.01,-27.1,7.03,1.449,1.45,7.584,30.34,2.125
9/7/2018,41:40.0,25.723,742.4,81.4,6.63,189.2,8.01,-27.1,7.03,1.449,1.45,7.584,30.34,2.125
9/7/2018,41:40.3,25.689,742.4,75.3,6.14,189.6,7.95,-42.3,6.95,0.309,0.31,3.42,13.68,2.15
9/7/2018,41:40.5,25.668,742.4,74.5,6.08,189.9,7.92,-49.8,6.91,0.416,0.42,3.762,15.05,2.167
9/7/2018,41:40.7,25.646,742.4,73.1,5.96,190.2,7.9,-62.1,6.87,0.418,0.42,4.001,16.01,2.175
9/7/2018,41:41.0,25.623,742.4,71.2,5.81,190.5,7.87,-65.6,6.81,0.291,0.29,3.183,12.73,2.183
9/7/2018,41:41.3,24.29,742.4,69.3,5.66,190.8,7.81,-68,6.79,0.447,0.45,3.472,13.89,2.2
9/7/2018,41:41.5,24.218,742.4,67.5,5.51,191.2,7.79,-74,6.75,0.302,0.3,3.808,15.23,2.208
9/7/2018,41:41.8,24.076,742.4,67.1,5.62,191.6,7.76,-78.3,6.72,0.359,0.36,4.155,16.62,2.208
9/7/2018,41:42.0,24.076,742.4,67.1,5.62,191.6,7.76,-78.3,6.72,0.359,0.36,4.155,16.62,2.208
9/7/2018,41:42.2,23.807,742.4,64.8,5.44,192.3,7.73,-83.9,6.65,0.042,0.04,3.109,12.44,2.957
9/7/2018,41:42.5,23.807,742.4,64.8,5.44,192.3,7.73,-83.9,6.65,0.042,0.04,3.109,12.44,2.957
9/7/2018,41:42.8,23.674,742.4,61.7,5.21,192.9,7.71,-88.9,6.58,0.042,0.04,3.107,12.43,3.021
9/7/2018,41:43.0,23.674,742.4,61.7,5.21,192.9,7.71,-88.9,6.58,0.042,0.04,3.107,12.43,3.021
9/7/2018,41:43.3,23.666,742.4,60.9,5.15,193.3,7.58,-89.8,6.54,0.042,0.04,3.107,12.43,3.037
9/7/2018,41:43.5,23.644,742.4,60.7,5.14,193.7,7.55,-90.9,6.49,0.042,0.04,3.107,12.43,3.052
9/7/2018,41:43.8,23.613,742.4,55.5,4.7,194.6,7.53,-91.1,6.41,0.045,0.05,3.107,12.43,3.047
9/7/2018,41:44.0,23.689,742.4,54.7,4.64,195.1,7.51,-91.5,6.38,0.057,0.06,3.087,12.35,3.052
9/7/2018,41:44.3,23.782,742.4,53.3,4.52,195.6,7.5,-91.9,6.36,0.057,0.06,3.065,12.26,3.052
9/7/2018,41:44.5,23.782,742.4,53.3,4.52,195.6,7.5,-91.9,6.36,0.057,0.06,3.065,12.26,3.052
9/7/2018,41:44.8,23.764,742.4,50.3,4.25,196.4,7.48,-93.4,6.33,0.077,0.08,3.033,12.13,3.104
9/7/2018,41:45.0,23.677,742.4,48.9,4.13,197,7.46,-93.8,6.3,0.087,0.09,2.991,11.97,3.115
9/7/2018,41:45.3,23.583,742.4,47.5,4.01,197.8,7.44,-94.2,6.28,0.09,0.09,2.972,11.89,3.115
9/7/2018,41:45.5,23.583,742.4,47.5,4.01,197.8,7.44,-94.2,6.28,0.09,0.09,2.972,11.89,3.115
9/7/2018,41:45.7,23.485,742.4,45.6,3.87,199.4,7.4,-95.1,6.23,0.099,0.1,2.938,11.75,3.117
9/7/2018,41:46.0,23.438,742.4,43.9,3.73,200.3,7.38,-95.4,6.21,0.104,0.1,2.901,11.6,3.123
9/7/2018,41:46.3,23.394,742.4,42.9,3.64,239.8,7.38,-95.7,6.19,0.102,0.1,2.906,11.62,3.129
9/7/2018,41:46.5,23.346,742.4,41.6,3.54,241.8,7.38,-96.2,6.18,0.1,0.1,2.89,11.56,3.137
9/7/2018,41:46.8,23.3,742.4,41.1,3.5,245.2,7.37,-96.5,6.17,0.101,0.1,2.875,11.5,3.146
9/7/2018,41:47.0,23.252,742.4,41,3.49,247.6,7.35,-96.8,6.17,0.098,0.1,2.858,11.43,3.168
9/7/2018,41:47.3,23.203,742.4,40.6,3.46,249.8,7.34,-97.3,6.18,0.102,0.1,2.866,11.46,3.18
9/7/2018,41:47.5,23.152,742.4,40.1,3.42,252.1,7.34,-97.6,6.2,0.102,0.1,2.854,11.42,3.18
9/7/2018,41:47.7,23.127,742.4,39.9,3.4,254.7,7.33,-97.9,6.24,0.103,0.1,2.844,11.38,3.214
9/7/2018,41:48.0,23.08,742.4,35.8,3.06,259.6,7.32,-98.2,6.26,0.102,0.1,2.828,11.31,3.225
9/7/2018,41:48.2,23.08,742.4,35.8,3.06,259.6,7.32,-98.2,6.26,0.102,0.1,2.828,11.31,3.225
9/7/2018,41:48.5,23,742.4,33.9,2.9,262.1,7.19,-98.9,6.31,0.098,0.1,2.809,11.23,3.236
9/7/2018,41:48.8,22.967,742.4,33,2.83,261.9,7.18,-99.2,6.36,0.094,0.09,2.818,11.27,3.268
9/7/2018,41:49.0,22.938,742.4,32.1,2.76,260.9,7.15,-99.4,6.36,0.097,0.1,2.804,11.22,3.278
9/7/2018,41:49.3,22.914,742.4,31.3,2.68,261,7.14,-109.9,6.39,0.094,0.09,2.801,11.2,3.295
9/7/2018,41:49.5,22.892,742.4,30.5,2.62,261.1,7.13,-110.1,6.46,0.09,0.09,2.797,11.19,3.295
9/7/2018,41:49.8,22.882,742.4,30.1,2.58,261.8,7.12,-111.3,6.5,0.089,0.09,2.789,11.16,3.31
9/7/2018,41:50.0,22.862,742.4,29.3,2.52,262.9,7.11,-112.1,6.57,0.086,0.09,2.779,11.12,3.324
9/7/2018,41:50.2,22.844,742.4,28.4,2.44,264,7.11,-114,6.62,0.088,0.09,2.773,11.09,3.332
9/7/2018,41:50.5,22.825,742.4,27.7,2.38,265.1,7.11,-113.6,6.68,0.091,0.09,2.766,11.06,3.339
9/7/2018,41:50.8,22.804,742.4,27,2.32,265.8,7.1,-114.3,6.75,0.088,0.09,2.759,11.04,3.346
9/7/2018,41:51.0,22.804,742.4,27,2.32,265.8,7.1,-114.3,6.75,0.088,0.09,2.759,11.04,3.346
9/7/2018,41:51.3,22.762,742.4,26.6,2.29,268.3,7.09,-116.5,6.89,0.085,0.08,2.753,11.01,3.367
9/7/2018,41:51.5,22.738,742.4,26.3,2.26,269.5,7.09,-117.4,6.98,0.08,0.08,2.746,10.98,3.374
9/7/2018,41:51.7,22.726,742.4,26.1,2.25,270.8,7.09,-118,7.06,0.078,0.08,2.743,10.97,3.389
9/7/2018,41:52.0,22.702,742.4,25.7,2.22,272.3,7.08,-119,7.15,0.072,0.07,2.737,10.95,3.396
9/7/2018,41:52.3,22.679,742.4,25.3,2.18,274,7.08,-120,7.23,0.069,0.07,2.729,10.92,3.396
9/7/2018,41:52.5,22.656,742.4,24.9,2.15,275.6,7.08,-120,7.31,0.069,0.07,2.729,10.91,3.42
9/7/2018,41:52.8,22.632,742.4,24.5,2.11,276.4,7.07,-120.3,7.45,0.062,0.06,2.719,10.88,3.428
9/7/2018,41:53.0,22.632,742.4,24.5,2.11,276.4,7.07,-120.3,7.45,0.062,0.06,2.719,10.88,3.428
9/7/2018,41:53.3,22.608,742.4,24.1,2.08,277.9,7.07,-121.2,7.55,0.061,0.06,2.71,10.84,3.437
9/7/2018,41:53.5,21.448,742.4,23.5,2.03,280.6,7.06,-122.4,7.82,0.055,0.06,2.681,10.72,3.463
9/7/2018,41:53.8,21.221,742.4,23.3,2.01,281.9,7.06,-123,7.98,0.055,0.05,2.67,10.68,3.472
9/7/2018,41:54.0,21.221,742.4,23.3,2.01,281.9,7.06,-123,7.98,0.055,0.05,2.67,10.68,3.472
9/7/2018,41:54.3,21.136,742.4,22.7,2.02,285,7.05,-125,8.23,0.059,0.06,2.674,10.7,3.5
9/7/2018,41:54.5,21.136,742.4,22.7,2.02,285,7.05,-125,8.23,0.059,0.06,2.674,10.7,3.5
9/7/2018,41:54.8,21.233,742.4,19,1.69,332.5,7.05,-126.1,8.61,0.066,0.07,2.674,10.7,3.518
9/7/2018,41:55.0,21.26,742.4,18.6,1.65,334.3,7.05,-127,9.11,0.069,0.07,2.681,10.72,3.535
9/7/2018,41:55.2,21.273,742.4,18.1,1.61,336.7,7.05,-127.3,9.4,0.072,0.07,2.682,10.73,3.543
9/7/2018,41:55.5,21.273,742.4,18.1,1.61,336.7,7.05,-127.3,9.4,0.072,0.07,2.682,10.73,3.543
9/7/2018,41:55.8,21.215,742.4,17.6,1.56,341.3,7.04,-127.8,11.23,0.084,0.08,3.637,14.55,3.567
9/7/2018,41:56.0,21.185,742.4,17.2,1.52,344.1,7.04,-128.1,12.8,0.091,0.09,5.835,23.34,3.574
9/7/2018,41:56.3,21.144,742.4,16.9,1.5,346.7,7.04,-128.2,162.57,0.107,0.11,8.751,35,3.581
9/7/2018,41:56.5,21.144,742.4,16.9,1.5,346.7,7.04,-128.2,162.57,0.107,0.11,8.751,35,3.581
9/7/2018,41:56.8,21.152,742.4,16.2,1.44,350.7,7.04,-128.4,135.53,0.168,0.17,6.688,26.75,3.602
9/7/2018,41:57.0,21.161,742.4,15.9,1.41,351.4,7.04,-128.6,84.86,0.196,0.2,8.248,32.99,3.608
9/7/2018,41:57.2,21.175,742.4,15.6,1.39,352.8,7.04,-128.7,97.54,0.221,0.22,4.101,16.41,3.614
9/7/2018,41:57.5,21.175,742.4,15.6,1.39,352.8,7.04,-128.7,97.54,0.221,0.22,4.101,16.41,3.614
9/7/2018,41:57.7,21.173,742.4,15.3,1.36,353.8,7.04,-128.9,84.88,0.259,0.26,3.976,15.9,3.632
