Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/16/2017,10:43:07,27.482,736.7,118.9,9.39,137.1,9.12,183.1,13.15,0,4.03,,13.8,,1.102,1.1
6/16/2017,10:43:08,27.456,736.9,116.5,9.21,137,9.12,183,13.17,0,1.9,,13.54,,1.116,1.1
6/16/2017,10:43:09,27.419,736.8,113.6,8.98,137,9.12,182.9,13.11,0,1.64,,13.41,,1.153,1.2
6/16/2017,10:43:10,27.385,736.8,111.7,8.83,136.9,9.12,182.8,12.68,0,2.55,,13.29,,1.206,1.3
6/16/2017,10:43:11,27.336,736.8,109.8,8.69,136.8,9.11,182.6,12.03,0,1.69,,13.27,,1.246,1.3
6/16/2017,10:43:12,27.286,736.8,103,8.16,136.8,9.11,182.6,11.54,0,1.52,,13.13,,1.291,1.5
6/16/2017,10:43:13,27.21,736.7,99.2,7.87,136.7,8.95,182.7,11.09,0,1.22,,12.89,,1.334,1.5
6/16/2017,10:43:14,27.149,736.8,94.8,7.53,136.7,8.93,182.9,10.8,0,1.01,,12.82,,1.369,1.5
6/16/2017,10:43:15,27.078,736.8,93.4,7.43,136.6,8.92,183.1,10.48,0,0.9,,12.76,,1.395,1.6
6/16/2017,10:43:16,27.008,736.8,87.6,6.97,136.6,8.9,183.3,10.19,0,0.82,,12.7,,1.428,1.7
6/16/2017,10:43:17,26.921,736.8,84.1,6.71,136.5,8.9,183.5,10,0,0.79,,12.62,,1.457,1.7
6/16/2017,10:43:18,26.844,736.8,79.7,6.36,136.5,8.89,183.7,9.8,0,0.77,,12.55,,1.488,1.8
6/16/2017,10:43:19,26.754,736.8,76.2,6.09,136.5,8.88,184,9.36,0,0.71,,12.46,,1.525,1.9
6/16/2017,10:43:20,26.678,736.9,74.5,5.97,136.6,8.86,184.3,8.71,0,0.66,,12.29,,1.573,2.1
6/16/2017,10:43:21,26.595,736.8,67.2,5.39,136.6,8.84,184.7,8.5,0,0.65,,16.02,,1.611,2.1
6/16/2017,10:43:22,26.507,736.8,62.8,5.04,136.7,8.82,185.1,8.4,0,0.62,,14.64,,1.647,2.2
6/16/2017,10:43:23,26.432,736.9,59.4,4.78,136.9,8.67,185.5,8.04,0,0.6,,13.18,,1.683,2.2
6/16/2017,10:43:24,25.049,736.7,57.7,4.64,140.5,8.66,186,7.81,0,0.59,,12.79,,1.725,2.3
6/16/2017,10:43:25,23.692,736.7,49.9,4.13,144.4,8.61,186.5,7.61,0,0.58,,12.79,,2.515,2.5
6/16/2017,10:43:26,23.218,736.9,44.9,3.83,146.4,8.6,187.1,7.43,0,0.57,,13.01,,2.579,2.5
6/16/2017,10:43:27,23.509,736.8,40.5,3.45,146.2,8.58,187.8,7.32,0,0.54,,8.45,,2.579,2.6
6/16/2017,10:43:28,23.114,736.9,37,3.15,147.9,8.55,188.3,7.2,0,0.52,,8.84,,2.641,2.6
6/16/2017,10:43:29,22.701,736.7,30.6,2.63,150.1,8.42,188.7,7.12,0,0.49,,10.09,,2.689,2.7
6/16/2017,10:43:30,21.148,736.8,27.2,2.39,155.2,8.38,188.8,7.2,0,0.46,,8.78,,2.746,2.8
6/16/2017,10:43:31,20.584,736.7,24.9,2.23,159,8.35,162.7,7.3,0,0.41,,8.75,,2.808,2.9
6/16/2017,10:43:32,20.074,736.8,23.7,2.13,161.7,8.33,145.9,7.52,0,0.35,,8.55,,2.859,3
6/16/2017,10:43:33,19.864,736.8,22.7,2.06,164.2,8.31,107.3,7.77,0,0.32,,8.52,,2.92,3.1
6/16/2017,10:43:34,19.322,736.8,18.5,1.69,167.4,8.28,77.8,8.07,0,0.29,,8.49,,2.966,3.2
6/16/2017,10:43:35,19.142,736.8,16.6,1.54,169.9,8.13,30.6,8.41,0,0.26,,8.35,,3.002,3.3
6/16/2017,10:43:36,18.97,736.8,15.2,1.41,172.5,8.06,-4.9,8.71,0,0.24,,8.2,,3.044,3.4
6/16/2017,10:43:37,18.782,736.8,14.2,1.32,174.8,8.01,-34.8,8.94,0,0.22,,8.08,,3.085,3.4
6/16/2017,10:43:38,18.639,736.8,13.7,1.28,177.2,7.97,-53.5,9.23,0,0.21,,7.99,,3.13,3.5
6/16/2017,10:43:39,18.485,736.9,13,1.22,179.2,7.95,-65.1,9.76,0,0.21,,6.72,,3.166,3.6
6/16/2017,10:43:40,18.37,736.8,12.6,1.18,181.5,7.93,-76.4,10.43,0,0.21,,7.93,,3.203,3.6
6/16/2017,10:43:41,17.197,736.8,12.1,1.14,187.9,7.91,-82.2,11.14,0,0.21,,7.85,,3.241,3.7
6/16/2017,10:43:42,16.908,736.8,11.7,1.13,191.6,7.89,-89.5,11.61,0,0.21,,7.99,,3.289,3.9
6/16/2017,10:43:43,17.032,736.8,11.3,1.09,192.9,7.76,-92.8,12.18,0,0.21,,7.99,,3.331,3.9
6/16/2017,10:43:44,16.807,736.8,11,1.07,196.3,7.71,-94.1,12.79,0,0.2,,7.64,,3.371,4
6/16/2017,10:43:45,16.793,736.8,10.7,1.04,198.2,7.69,-95.9,14.76,0,0.24,,12.45,,3.409,4
6/16/2017,10:43:46,16.803,736.7,10.4,1.01,200.3,7.68,-97.4,313.41,0,0.33,,13.12,,3.452,4.1
6/16/2017,10:43:47,16.847,736.8,10.1,0.98,201.9,7.43,-116.3,55.49,0,0.49,,14.02,,3.486,4.1
6/16/2017,10:43:48,16.887,736.7,9.9,0.96,204.2,7.3,-138.1,371.64,0,0.73,,13.53,,3.518,4.2
