Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
7/21/2017,10:18:10,31.425,740,95.7,7.06,307.3,8.8,143.4,-853.88,0,3.66,,11.55,,0.97,1
7/21/2017,10:18:11,31.419,740,95.4,7.03,307.3,8.81,143.2,-853.89,0,3.68,,11.6,,0.973,1
7/21/2017,10:18:12,31.411,740,95.2,7.02,307.4,8.81,143.1,-853.86,0,3.7,,11.57,,0.975,1
7/21/2017,10:18:13,31.404,740,94.9,7,307.4,8.81,142.9,-853.85,0,3.7,,11.55,,0.976,1
7/21/2017,10:18:14,31.399,740,94.7,6.98,307.5,8.82,142.7,-853.94,0,3.71,,11.6,,0.976,1
7/21/2017,10:18:15,31.394,740.2,94.4,6.96,307.5,8.82,142.5,-853.93,0,3.72,,11.62,,0.975,1
7/21/2017,10:18:16,31.391,740,94.2,6.95,307.5,8.82,142.1,-853.93,0,3.71,,11.58,,0.974,0.8
7/21/2017,10:18:17,31.395,740,94.1,6.94,307.5,8.82,141.7,-853.93,0,3.7,,11.51,,0.136,0.4
7/21/2017,10:18:18,31.401,740,94,6.93,120.1,8.83,141.4,-853.74,0,2.2,,15.76,,0.002,0
7/21/2017,10:18:19,31.402,740,94,6.94,228.4,8.83,141.1,-852.26,0,3.19,,9.44,,0,0
7/21/2017,10:18:20,31.41,740,94.1,6.94,302.9,8.83,140.8,-852.27,0,2.9,,9.7,,0,0
7/21/2017,10:18:21,31.419,740,94.2,6.95,307.4,8.83,140.5,-852.29,0,3.6,,10.07,,0.002,0
7/21/2017,10:18:22,31.428,740,94.4,6.96,307.7,8.84,140.2,-852.26,0,3.6,,10.58,,0.007,0
7/21/2017,10:18:23,31.438,740,94.6,6.97,307.9,8.84,139.9,-852.22,0,3.44,,10.58,,0.011,0
7/21/2017,10:18:24,31.448,740,94.8,6.99,307.9,8.85,139.7,-852.26,0,3.33,,10.56,,0.013,0
7/21/2017,10:18:25,31.46,740,95,7,307.9,8.86,139.4,-852.31,0,3.27,,10.53,,0.015,0
7/21/2017,10:18:26,31.469,740,95.3,7.02,307.8,8.86,139.1,-852.22,0,3.28,,10.61,,0.016,0
7/21/2017,10:18:27,31.481,740,95.6,7.04,307.8,8.87,138.9,-852.22,0,3.29,,10.61,,0.015,0
7/21/2017,10:18:28,31.492,739.9,95.8,7.06,307.7,8.87,138.7,-852.3,0,3.3,,10.49,,0.013,0
7/21/2017,10:18:29,31.504,740,96.1,7.08,307.7,8.88,138.4,-852.26,0,3.3,,10.51,,0.013,0
7/21/2017,10:18:30,31.511,740,96.4,7.09,307.7,8.88,138.2,-852.17,0,3.32,,10.48,,0.014,0
7/21/2017,10:18:31,31.513,740,96.6,7.11,307.7,8.89,138,-852.13,0,3.33,,10.54,,0.014,0
7/21/2017,10:18:32,31.522,740,96.7,7.12,307.6,8.89,137.8,-852.08,0,3.36,,10.61,,0.015,0
7/21/2017,10:18:33,31.524,740,96.8,7.12,307.6,8.9,137.6,-853.05,0,3.37,,10.65,,0.016,0
7/21/2017,10:18:34,31.524,740,96.9,7.13,307.6,8.9,137.4,-853.8,0,3.38,,10.72,,0.016,0
7/21/2017,10:18:35,31.525,740,96.9,7.13,307.6,8.9,137.2,-853.83,0,3.4,,10.68,,0.017,0
7/21/2017,10:18:36,31.525,740,96.9,7.13,307.7,8.91,137,-853.85,0,3.39,,10.67,,0.017,0
7/21/2017,10:18:37,31.526,740,97,7.14,307.7,8.91,136.8,-853.86,0,3.39,,10.6,,0.017,0
7/21/2017,10:18:38,31.526,740,97,7.14,307.7,8.92,136.6,-853.85,0,3.39,,10.61,,0.016,0
7/21/2017,10:18:39,31.527,740,97,7.14,307.7,8.92,136.4,-853.82,0,3.4,,10.74,,0.015,0
7/21/2017,10:18:40,31.527,740,97,7.14,307.7,8.92,136.2,-853.76,0,3.41,,10.76,,0.015,0
7/21/2017,10:18:41,31.528,740,97,7.13,307.7,8.93,135.9,-853.82,0,3.43,,10.8,,0.014,0
7/21/2017,10:18:42,31.528,740,97,7.13,307.7,8.93,135.8,-853.78,0,3.46,,10.75,,0.014,0
7/21/2017,10:18:43,31.528,740,96.9,7.13,307.7,8.93,135.6,-853.73,0,3.47,,10.63,,0.013,0
7/21/2017,10:18:44,31.529,740,96.9,7.13,307.7,8.94,135.4,-853.76,0,3.48,,10.51,,0.012,0
7/21/2017,10:18:45,31.529,740,96.9,7.13,307.7,8.94,135.3,-853.86,0,3.49,,10.48,,0.012,0
7/21/2017,10:18:46,31.53,740,96.9,7.13,307.7,8.94,135.2,-853.85,0,3.5,,10.51,,0.011,0
7/21/2017,10:18:47,31.531,740,96.9,7.13,307.7,8.94,135.1,-853.88,0,3.51,,10.49,,0.011,0
7/21/2017,10:18:48,31.532,740,96.9,7.13,307.7,8.94,134.9,-853.86,0,3.52,,10.46,,0.011,0
7/21/2017,10:18:49,31.533,740,96.9,7.13,307.7,8.94,134.8,-853.84,0,3.52,,10.42,,0.013,0.1
7/21/2017,10:18:50,31.534,740,96.9,7.13,307.7,8.94,134.7,-853.83,0,3.55,,10.42,,0.018,0.2
7/21/2017,10:18:51,31.533,740,96.9,7.13,307.7,8.94,134.7,-853.84,0,3.55,,10.45,,0.027,0.3
7/21/2017,10:18:52,31.532,740,96.8,7.13,307.7,8.94,134.6,-853.85,0,3.58,,10.51,,0.038,0.4
7/21/2017,10:18:53,31.531,740,96.8,7.12,307.7,8.95,134.5,-853.86,0,3.6,,10.61,,0.054,0.5
7/21/2017,10:18:54,31.53,740,96.8,7.12,307.7,8.95,134.4,-853.87,0,3.61,,10.72,,0.07,0.6
7/21/2017,10:18:55,31.527,740,96.8,7.12,307.8,8.95,134.4,-853.94,0,3.63,,10.85,,0.831,0.8
7/21/2017,10:18:56,31.521,740,96.7,7.12,307.8,8.95,134.3,-853.94,0,3.65,,10.96,,0.97,0.9
7/21/2017,10:18:57,31.513,740,96.6,7.11,307.8,8.95,134.3,-853.99,0,3.69,,11.04,,1.097,1
7/21/2017,10:18:58,31.501,740,96.4,7.1,307.8,8.95,134.2,-854.08,0,3.7,,11.19,,1.124,1.1
7/21/2017,10:18:59,31.49,740,96.2,7.09,307.8,8.95,134.2,-854.06,0,3.69,,11.32,,1.144,1.2
7/21/2017,10:19:00,31.477,740,92.9,6.84,307.8,8.95,134.2,-854.02,0,3.7,,11.44,,1.212,1.3
7/21/2017,10:19:01,31.462,740,91.7,6.75,307.9,8.95,134.2,-853.96,0,3.69,,11.55,,1.29,1.4
7/21/2017,10:19:02,31.445,740,88.5,6.52,307.9,8.94,134.2,-853.97,0,3.67,,11.58,,1.341,1.5
7/21/2017,10:19:03,29.498,740,83.9,6.19,317.5,8.78,134.3,-854.21,0,1.54,,11.45,,1.386,1.6
7/21/2017,10:19:04,29.383,740,75,5.75,319.1,8.72,134.4,-854.52,0,1.09,,11.28,,1.428,1.6
7/21/2017,10:19:05,29.191,740,63.1,4.8,320,8.66,134.6,-854.81,0,0.89,,11.1,,1.466,1.7
7/21/2017,10:19:06,29.125,740,51.9,3.98,320.9,8.63,134.8,-855.18,0,0.62,,10.87,,1.516,1.8
7/21/2017,10:19:07,28.94,740,46.6,3.58,321.8,8.59,135.1,-855.48,0,0.62,,10.56,,1.556,1.9
7/21/2017,10:19:08,28.492,740,36.4,2.81,324.7,8.42,135.3,-855.76,0,0.57,,10.26,,1.596,2
7/21/2017,10:19:09,27.141,740,30.7,2.39,332.9,8.37,135.4,-855.87,0,0.48,,9.93,,1.636,2.1
7/21/2017,10:19:10,27.309,740,26.7,2.12,331.7,8.33,135.5,-855.95,0,0.39,,9.7,,1.684,2.1
7/21/2017,10:19:11,26.889,740,25.5,2.02,333.4,8.31,113.7,-855.94,0,0.31,,9.3,,1.722,2.2
7/21/2017,10:19:12,25.8,740,23.1,1.87,341.1,8.28,74,-855.73,0,0.24,,8.89,,1.759,2.3
7/21/2017,10:19:13,25.545,740,17.7,1.44,342.7,8.12,34.7,-855.42,0,0.2,,8.6,,1.797,2.4
7/21/2017,10:19:14,25.136,740,15.5,1.28,346,8.04,-7.4,-855.24,0,0.18,,8.35,,1.842,2.4
7/21/2017,10:19:15,24.83,740,13.6,1.13,348.5,7.96,-27.2,-855.14,0,0.16,,8.14,,1.88,2.5
7/21/2017,10:19:16,24.645,740,12.9,1.07,351,7.93,-66.7,-855.05,0,0.14,,7.88,,1.917,2.6
7/21/2017,10:19:17,24.441,740,12.2,1.02,353.3,7.89,-83.6,-854.82,0,0.14,,7.71,,1.952,2.6
7/21/2017,10:19:18,24.308,740,11.6,0.97,355.8,7.75,-94.6,-854.4,0,0.13,,7.55,,2.705,2.7
7/21/2017,10:19:19,22.708,740,11.1,0.95,367.9,7.68,-100.4,-853.96,0,0.12,,7.37,,2.773,2.7
7/21/2017,10:19:20,22.346,740,10.7,0.93,373.4,7.63,-104.2,-853.54,0,0.1,,7.21,,2.85,2.8
7/21/2017,10:19:21,22.453,740,10.4,0.91,375.8,7.6,-105.5,-853.1,0,0.09,,7.03,,2.917,2.9
7/21/2017,10:19:22,22.161,740,10,0.87,381.6,7.55,-106.3,-852.64,0,0.07,,6.92,,2.951,3
7/21/2017,10:19:23,21.842,740,9.7,0.85,387.6,7.43,-108.4,-852.35,0,0.06,,6.84,,2.975,3
7/21/2017,10:19:24,21.613,740,9.4,0.82,394.9,7.39,-110.1,-852.2,0,0.05,,6.69,,2.999,3
7/21/2017,10:19:25,21.479,740,9,0.8,401,7.36,-111.2,-852.03,0,0.05,,6.62,,3.02,3.1
7/21/2017,10:19:26,21.377,740,8.7,0.77,408.5,7.34,-111.9,-852.09,0,0.02,,6.52,,3.039,3.1
7/21/2017,10:19:27,21.278,740,8.5,0.75,416.3,7.33,-112.4,-852.31,0,0,,6.44,,3.075,3.2
7/21/2017,10:19:28,21.156,740,8.2,0.73,423.9,7.31,-112.8,-852.57,0,-0.01,,6.32,,3.105,3.3
7/21/2017,10:19:29,21.073,740,7.9,0.7,432.6,7.28,-113.1,-852.76,0,-0.03,,6.23,,3.136,3.3
7/21/2017,10:19:30,21.046,740,7.4,0.66,439.4,7.26,-113.5,-852.91,0,-0.04,,6.17,,3.156,3.3
7/21/2017,10:19:31,21.001,740,6.9,0.62,447.7,7.25,-114,-852.98,0,-0.03,,6.1,,3.181,3.4
7/21/2017,10:19:32,20.922,740,6.5,0.58,456.2,7.13,-114.5,-853.13,0,-0.03,,6.05,,3.204,3.5
7/21/2017,10:19:33,19.695,740,6.1,0.55,477.8,7.11,-115,-853.25,0,-0.03,,6.01,,3.241,3.6
7/21/2017,10:19:34,19.795,740,5.7,0.52,485.3,7.08,-115.4,-853.36,0,-0.03,,5.97,,3.276,3.7
7/21/2017,10:19:35,19.786,740,5.4,0.49,495.1,7.07,-122.6,-853.45,0,-0.03,,5.92,,3.311,3.8
7/21/2017,10:19:36,19.622,740,5.1,0.47,505,7.06,-122.6,-853.53,0,-0.04,,5.9,,3.351,3.9
7/21/2017,10:19:37,19.467,740,4.9,0.44,517,7.05,-124,-853.61,0,-0.03,,5.93,,3.388,4
7/21/2017,10:19:38,19.384,740,4.6,0.43,527,7.04,-125.8,-853.67,0,-0.03,,5.93,,3.419,3.9
7/21/2017,10:19:39,19.316,740,4.4,0.4,538,7.03,-126.1,-853.69,0,-0.01,,5.99,,3.453,4.1
7/21/2017,10:19:40,19.174,740,4.2,0.39,550,7.01,-126.7,-853.67,0,0,,6.07,,4.286,4.2
7/21/2017,10:19:41,19.047,740,4,0.37,562,7,-127.1,-853.46,0,0.03,,6.18,,4.332,4.3
7/21/2017,10:19:42,18.956,740,3.8,0.36,573,6.99,-127.7,-698.98,0,0.09,,20.25,,4.349,4.3
7/21/2017,10:19:43,18.922,740,3.7,0.34,584,6.98,-128.1,-842.29,0,0.23,,12.91,,4.355,4.4
7/21/2017,10:19:44,18.9,740,3.5,0.33,594,6.77,-128.3,-777.14,0,0.4,,7.43,,4.382,4.4
7/21/2017,10:19:45,18.868,740,3.4,0.31,604,6.76,-129,-780.64,0,0.61,,7.45,,4.414,4.5
7/21/2017,10:19:46,18.821,740,3.3,0.3,613,6.81,-142,169.82,0,0.86,,4.98,,4.437,4.5
7/21/2017,10:19:47,18.788,740,3.2,0.29,623,6.83,-142.8,-755.37,0,1.19,,20.51,,4.453,4.5
7/21/2017,10:19:48,18.752,740,3.1,0.29,631,6.83,-143.2,-555.48,0,1.41,,11.36,,4.463,4.5
7/21/2017,10:19:49,18.688,739.9,3,0.28,641,6.82,-143.2,-598.73,0,1.56,,11.97,,4.471,4.5
7/21/2017,10:19:50,18.601,740,2.9,0.27,649,6.82,-143.3,-638.38,0,1.7,,11.95,,4.475,4.5
7/21/2017,10:19:51,18.522,740,2.9,0.27,656,6.81,-143.3,-642.42,0,1.89,,16.88,,4.479,4.5
7/21/2017,10:19:52,18.469,740,2.8,0.26,662,6.81,-143.4,-620.43,0,2.02,,9.57,,4.482,4.5
