dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,ODO...CB,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,TAL.PC.RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,phycocyaninBGA_RFU
2018-08-08T11:16:51Z,0,1.2738333333333334,81.13333333333334,84.26666666666667,6.545,-60.766666666666666,0.13,278.8,0,181,9.679166666666667,8.136666666666667,26.2785,1.7744166666666668,40.39861,-94.08652,288.4583333333333,2018-08-08,2018-08-08T11:16:51Z,185,0.12287924151696607,981.9,NA
2018-08-08T11:16:54Z,0,1.3530833333333334,80.43333333333334,83.58333333333333,6.491666666666667,-60,0.13,278.85833333333335,0,181,9.7625,8.128333333333334,26.26425,1.8488333333333333,40.39861,-94.08652,288.3333333333333,2018-08-08,2018-08-08T11:16:54Z,185,0.1305400562511341,981.8222222222222,NA
2018-08-08T11:16:57Z,0,1.4358333333333333,79.94166666666666,83.04166666666667,6.452500000000001,-59.233333333333334,0.13,278.9,0,181,9.796666666666667,8.12,26.252,1.9415833333333334,40.39861,-94.08652,288.475,2018-08-08,2018-08-08T11:16:57Z,185,0.13851274723280713,981.8555555555556,NA
2018-08-08T11:17:03Z,0,1.5996666666666668,79.11666666666666,82.18333333333334,6.3875,-57.8,0.13,278.9916666666667,0,181,9.9825,8.105833333333333,26.233416666666667,2.0715,40.39861,-94.08652,288.6,2018-08-08,2018-08-08T11:17:03Z,185,0.15432770821992378,981.8666666666667,NA
2018-08-08T11:17:06Z,0,1.67725,78.71666666666667,81.75833333333333,6.354166666666667,-57.11666666666667,0.13,279,0,181,10.079166666666666,8.1,26.222833333333334,2.154,40.39861,-94.08652,288.68333333333334,2018-08-08,2018-08-08T11:17:06Z,185,0.16179572672836146,981.8666666666667,NA
2018-08-08T11:17:09Z,0,1.75475,78.325,81.35,6.325,-56.44166666666667,0.13,279,0,181,10.150833333333333,8.0925,26.210333333333335,2.257,40.39861,-94.08652,288.80833333333334,2018-08-08,2018-08-08T11:17:09Z,185,0.1692864271457086,981.8666666666667,NA
2018-08-08T11:17:12Z,0,1.8340833333333333,77.95,80.96666666666667,6.297499999999999,-50.891666666666666,0.13,279.08333333333337,0,181,10.553333333333333,8.09,26.1895,2.3779166666666667,40.39861,-94.08652,289.025,2018-08-08,2018-08-08T11:17:12Z,185,0.17695291235710398,981.8666666666667,NA
2018-08-08T11:17:15Z,0,1.91875,73.96666666666667,76.85,5.980833333333333,-49.425,0.13,279.21666666666664,0,181.41666666666666,11.016666666666666,8.08,26.1615,2.48275,40.39861,-94.08651583333334,289.28333333333336,2018-08-08,2018-08-08T11:17:15Z,185,0.18512407004173473,981.8666666666667,NA
2018-08-08T11:17:18Z,0,2.0068333333333332,69.29166666666666,71.96666666666667,5.6049999999999995,-48.74166666666667,0.13,279.3666666666667,0,182,11.4825,8.074166666666667,26.131666666666668,2.5825,40.39861,-94.08651,289.43333333333334,2018-08-08,2018-08-08T11:17:18Z,185,0.19360143349664308,981.8666666666667,NA
2018-08-08T11:17:21Z,0,2.0978333333333334,62.44166666666666,64.86666666666667,5.054166666666666,-48.1,0.13,279.60833333333335,0,182,11.975,8.0408333333333335,26.09325,2.697166666666667,40.39861083333333,-94.08651,289.4083333333333,2018-08-08,2018-08-08T11:17:21Z,185,0.20237366176737434,981.8666666666667,NA
2018-08-08T11:17:24Z,0,2.1898333333333335,55.641666666666666,57.833333333333336,4.5075,-47.541666666666664,0.13,279.8833333333333,0,182,12.4225,7.949166666666667,26.057000000000002,2.801083333333333,40.39862,-94.08651,289.5416666666667,2018-08-08,2018-08-08T11:17:24Z,185,0.21127064053710762,981.8666666666667,NA
2018-08-08T11:17:27Z,0,2.2844166666666665,53.358333333333334,55.40833333333333,4.321666666666666,-47.1,0.13,280.125,0,182,13.650833333333333,7.933333333333334,26.026833333333332,2.937,40.39862,-94.08651,289.7166666666667,2018-08-08,2018-08-08T11:17:27Z,185,0.22038876791870804,981.8444444444444,NA
