MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,notes
290,Eureka,38.5159,-90.6429,
291,Foxtail,38.7745,-91.0233,
292,Good Oak,38.1982,-92.7169,
293,Innsbrook,38.7684,-91.0545,
294,January Wabash,38.7528,-90.3111,
295,Jennings,38.7384,-90.2583,
296,Konstanz,38.7624,-91.074,
297,Lake of the Woods,38.9954,-94.5206,
298,Ste. Louise,38.7994,-90.7911,
299,Lakeview,39.1546,-91.89,
300,Lucern,38.7756,-91.0595,
301,Penn Valley,39.0783,-94.5927,
302,Red Fox,38.7717,-91.0255,
304,Robin Hood,38.674,-90.9874,
305,Scheffborg,38.786,-91.0583,
306,Simpson,38.5581,-90.4639,
307,St. Gallen,38.75,-91.0301,
308,Stephens,38.9511,-92.3085,
309,Sugar Hollow,38.6714,-90.9777,
310,Treeline,38.1933,-92.7351,
311,Troost,39.0754,-94.5646,
312,Trophy,38.7742,-91.0274,
313,Wanderfern,38.7671,-91.0729,
314,Waterworks,39.4162,-92.4646,
315,Whippoorwill,38.7654,-91.0339,
316,Wood,38.9956,-92.2153,
318,Apollo,37.8158,-90.491,
320,Quarry Heights,38.9413,-92.3448,
322,Whitecliff,38.5561,-90.3688,
323,Wyandote,39.1679,-94.7786,
401,Field Blank,0,0,
402,Flat Creek,36.6595,-93.8868,
403,Mallard ,38.7024,-90.4946,
404,Novus,38.7094,-90.6817,
405,Pierson,39.0679,-94.7119,
406,Riss,39.2005,-94.6767,
407,Roaring River,36.555,-93.7699,
408,Big Eleven,39.1182,-94.6368,
409,Carondelet Boathouse,38.5624,-90.2666,
410,Caswell,38.8966,-92.3512,
411,Cedar,38.8966,-92.3512,
412,Barry Harbor,39.2428,-94.6045,
413,Jaycee,38.5625,-92.2684,
414,Crowder,40.0959,-93.6606,
415,Ethel,39.8872,-92.7527,
416,Leisure (Grundy Co),40.1104,-93.7273,
417,Middle Fork Water,40.2886,-94.4329,
418,Bass,38.8391,-91.7668,
419,Butterfly,37.788,-90.9259,
420,Daizy Valley,38.4743,-91.3901,
421,Leisure (Callaway Co),38.8978,-91.8209,
422,Lochaweeno,38.8285,-91.7632,
423,Port Hudson,38.4735,-91.2678,
424,Iron Mountain,37.693,-90.6225,
425,Kellogg,37.1875,-94.2934,
426,Potosi,37.8823,-90.6806,
427,Primrose,37.9927,-90.5628,
428,Sayersbrook,37.9867,-90.9259,
429,Wahoo,38.0012,-90.5468,
430,Bluestem,38.8715,-94.3244,
431,Bodarc,38.8708,-94.3167,
432,Harrisonville City,38.6645,-94.3391,
433,Luna,38.6616,-94.3462,
434,Sever Lake North,40.2556,-92.1485,
435,Hurdland Severs,40.1121,-92.294,
436,Finger Lake,39.0872,-92.3157,
437,Thunderbird (Lower),38.8068,-91.8085,
438,Bethel,38.9012,-92.3421,
439,Cheney,37.7266,-97.7933,
440,Crow Pond,38.8938,-91.7372,
441,Montauk,37.4579,-91.6847,
442,Callaway Fork,38.6824,-90.845,
443,Spanish,38.8005,-90.2035,
444,Cole,38.0193,-90.567,
445,Rock Lake Village,38.8853,-94.0729,
446,Sakatah,44.2229,-93.5625,
447,Black Hawk,42.3036,-95.0393,
448,Riata,38.4698,-91.4061,
449,Pleasant Hill,38.8223,-94.2962,
450,Marion,38.3675,-90.7568,
451,Serene,38.4132,-90.7849,
452,Katy,38.9199,-92.3952,
453,Lafayette Park,38.6156,-90.216,
454,Cedar Hill (Lake 1),38.3337,-90.6549,
455,West Arrowhead,39.4848,-94.3117,
456,Timberland,37.9178,-93.97,
457,OFallon Park,38.6792,-90.2194,
458,Crystal (Morgan),38.3942,-92.9464,
459,Fon du Lac,38.4898,-90.4693,
460,Houston,39.1904,-94.6185,
461,See Tal,38.6881,-91.4368,
462,Tilles Park,38.6222,-90.3636,
463,McKee Pond,38.671,-92.2592,
464,Cedar (Randolph),39.3925,-92.4234,
465,McKee Prairie,38.8375,-94.2319,
