dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
2019-06-12T15:06:12Z,0.9633333333333333,1.2126666666666668,76.9,6.443333333333333,110.6,0.08,172.6,0.18,112,54.43333333333334,7.453333333333333,24.189333333333334,1.2233333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:06:12Z,145,0.11703864997278171,990.9777777777778
2019-06-12T15:06:15Z,0.9666666666666667,1.3023333333333333,76.63333333333333,6.43,110.6,0.08,172.66666666666666,0.11333333333333333,112,53.67666666666667,7.45,24.181,1.308,NA,NA,NA,2019-06-12,2019-06-12T15:06:15Z,145,0.12570313917619308,990.9777777777778
2019-06-12T15:06:18Z,1.02,1.362,76.5,6.413333333333333,110.66666666666667,0.08,172.66666666666666,0.14333333333333334,112,54.11,7.45,24.178,1.3703333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:06:18Z,145,0.13144166213028488,991.0222222222222
2019-06-12T15:06:21Z,0.9533333333333334,1.424,76.36666666666667,6.406666666666667,110.63333333333333,0.08,172.66666666666666,0.15333333333333332,112,55.71,7.45,24.173,1.4336666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:06:21Z,145,0.13742968608238068,990.9333333333334
2019-06-12T15:06:24Z,1.0033333333333334,1.4836666666666667,76.3,6.4,110.6,0.08,172.76666666666668,0.14,112,55.193333333333335,7.446666666666667,24.169666666666668,1.494,NA,NA,NA,2019-06-12,2019-06-12T15:06:24Z,145,0.14319089094538195,991.0222222222222
2019-06-12T15:06:27Z,0.9833333333333334,1.5683333333333334,76.23333333333333,6.4,110.8,0.08,172.83333333333334,0.13,112,53.41,7.44,24.160333333333334,1.573,NA,NA,NA,2019-06-12,2019-06-12T15:06:27Z,145,0.15133369624387588,991.0222222222222
2019-06-12T15:06:30Z,0.9433333333333334,1.624,76.16666666666667,6.39,110.8,0.08,172.8,0.16666666666666666,112,54.26,7.44,24.160666666666668,1.6313333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:06:30Z,145,0.1567319905643259,991.0222222222222
2019-06-12T15:06:33Z,0.92,1.67,76.2,6.39,110.9,0.08,172.93333333333334,0.11666666666666667,112,53.27333333333333,7.44,24.156333333333333,1.6723333333333332,NA,NA,NA,2019-06-12,2019-06-12T15:06:33Z,145,0.1612003266194883,990.9777777777778
2019-06-12T15:06:36Z,0.88,1.7316666666666667,76.2,6.39,110.93333333333334,0.08,173.03333333333333,0.13333333333333333,112,53.660000000000004,7.43,24.15,1.746,NA,NA,NA,2019-06-12,2019-06-12T15:06:36Z,145,0.16718835057158413,990.9777777777778
2019-06-12T15:06:39Z,0.9366666666666666,1.8503333333333334,76.03333333333333,6.383333333333333,111.2,0.08,173.23333333333335,0.09666666666666666,113,54.376666666666665,7.43,24.133666666666667,1.8593333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:06:39Z,145,0.17862003266194884,990.9777777777778
2019-06-12T15:06:42Z,0.9933333333333333,1.887,75.86666666666667,6.373333333333333,111.1,0.08,173.23333333333332,0.11666666666666667,113,53.373333333333335,7.43,24.123,1.8876666666666666,NA,NA,NA,2019-06-12,2019-06-12T15:06:42Z,145,0.18213572854291418,990.9333333333334
2019-06-12T15:06:45Z,0.87,1.9286666666666668,75.73333333333333,6.36,111.03333333333333,0.08,173.33333333333334,0.1,113,56.7,7.43,24.114,1.9363333333333332,NA,NA,NA,2019-06-12,2019-06-12T15:06:45Z,145,0.18617310832879697,990.9777777777778
2019-06-12T15:06:48Z,0.8866666666666667,1.962,75.56666666666666,6.343333333333333,111.1,0.08,173.2,0.12000000000000001,113,53.766666666666666,7.43,24.110333333333333,1.9653333333333334,NA,NA,NA,2019-06-12,2019-06-12T15:06:48Z,145,0.1893939393939394,990.9777777777778
2019-06-12T15:06:51Z,0.9400000000000001,2.0116666666666667,75.36666666666667,6.33,111.1,0.08,173.1,0.12666666666666665,113,55.57333333333334,7.43,24.092666666666666,2.0186666666666664,NA,NA,NA,2019-06-12,2019-06-12T15:06:51Z,145,0.19422518599165306,990.9777777777778
2019-06-12T15:06:54Z,0.9233333333333333,2.0473333333333334,75.2,6.316666666666666,111.1,0.08,173,0.13,112,53.53,7.43,24.083666666666666,2.05,NA,NA,NA,2019-06-12,2019-06-12T15:06:54Z,145,0.1976501542369806,990.9777777777778
2019-06-12T15:06:57Z,0.86,2.087,74.96666666666667,6.296666666666667,111.16666666666667,0.08,172.73333333333332,0.08666666666666667,112,54.82666666666667,7.423333333333333,24.084333333333333,2.0926666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:06:57Z,145,0.20146071493376883,990.9777777777778
2019-06-12T15:07:00Z,0.88,2.1376666666666666,74.73333333333333,6.283333333333333,111.2,0.08,172.56666666666666,0.12333333333333334,112,52.85666666666667,7.42,24.063666666666666,2.143,NA,NA,NA,2019-06-12,2019-06-12T15:07:00Z,145,0.20636000725821085,991.0222222222222
2019-06-12T15:07:03Z,0.84,2.171,74.5,6.263333333333333,111.3,0.08,172.26666666666668,0.10666666666666667,112,55.17666666666667,7.42,24.037666666666667,2.179333333333333,NA,NA,NA,2019-06-12,2019-06-12T15:07:03Z,145,0.20955815641444384,990.9777777777778
2019-06-12T15:07:06Z,0.8233333333333334,2.272333333333333,74.26666666666667,6.25,111.33333333333333,0.08,171.66666666666666,0.1366666666666667,111.66666666666667,56.92333333333333,7.41,24.006666666666668,2.283,NA,NA,NA,2019-06-12,2019-06-12T15:07:06Z,145,0.21933405915441845,990.9777777777778
2019-06-12T15:07:09Z,0.8333333333333334,2.3676666666666666,73.96666666666667,6.226666666666667,111.4,0.08,171.23333333333332,0.14666666666666667,111,55.60666666666667,7.41,23.993333333333332,2.3866666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:07:09Z,145,0.22856559608056615,991.0222222222222
2019-06-12T15:07:12Z,0.8,2.4993333333333334,73.5,6.19,111.53333333333333,0.08,170.7,0.12333333333333334,111,55.99,7.406666666666667,23.977666666666668,2.510666666666667,NA,NA,NA,2019-06-12,2019-06-12T15:07:12Z,145,0.24122210125204138,991.1111111111111
