MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
21,Goose Creek ,6/6/2023,8:12:00 AM,Secchi ,4.22,
112,Shayne,6/6/2023,11:25:00 AM,Secchi,4.75,
112,Shayne,6/6/2023,11:25:00 AM,Secchi ,4.6,
30,Wappapello,6/6/2023,5:50:00 PM,Secchi,0.9,
30,Wappapello,6/6/2023,5:50:00 PM,Secchi ,0.75,
39,Council Bluff,6/7/2023,2:11:00 PM,Secchi,4.1,
39,Council Bluff,6/7/2023,2:11:00 PM,Secchi ,3.9,
33,Fourche Lake,6/7/2023,8:36:00 AM,Secchi,3.9,
33,Fourche Lake,6/7/2023,8:36:00 AM,Secchi ,3.7,
110,Little Prarie ,6/7/2023,5:09:00 PM,Secchi,1,
110,Little Prarie ,6/7/2023,5:09:00 PM,Secchi ,1.09,
32,Ripley,6/7/2023,9:45:00 AM,Secchi,1.68,
32,Ripley,6/7/2023,9:45:00 AM,Secchi ,1.6,
274,Alpine,6/12/2023,3:25:00 PM,Secchi,3.63,
274,Alpine,6/12/2023,3:25:00 PM,Secchi ,3.5,
276,Ashland,6/12/2023,9:47:00 AM,Secchi,0.55,
276,Ashland,6/12/2023,9:47:00 AM,Secchi ,0.45,
11,Peaceful ,6/12/2023,12:31:00 PM,Secchi,1.4,
11,Peaceful ,6/12/2023,12:31:00 PM,Secchi ,1.3,
46,Thomas Hill,6/12/2023,9:55:00 AM,Secchi,0.7,
46,Thomas Hill,6/12/2023,9:55:00 AM,Secchi ,0.6,
438,Bethel ,6/13/2023,12:30:00 PM,Secchi,1,
438,Bethel ,6/13/2023,12:30:00 PM,Secchi ,0.9,
180,Bilby Ranch ,6/13/2023,4:50:00 PM,Secchi,0.84,
180,Bilby Ranch ,6/13/2023,4:50:00 PM,Secchi ,0.75,
140,Cameron 1,6/13/2023,12:45:00 PM,Secchi,0.65,
140,Cameron 1,6/13/2023,12:45:00 PM,Secchi ,0.52,
211,Cameron 2 Sunrise,6/13/2023,11:10:00 AM,Secchi,1.35,
211,Cameron 2 Sunrise,6/13/2023,11:10:00 AM,Secchi ,1.25,
213,Cameron 3,6/13/2023,12:05:00 PM,Secchi,0.7,
213,Cameron 3,6/13/2023,12:05:00 PM,Secchi ,0.6,
219,Dairy Farm ,6/13/2023,9:30:00 AM,Secchi,0.95,
219,Dairy Farm ,6/13/2023,9:30:00 AM,Secchi ,0.94,
163,King,6/13/2023,1:57:00 PM,Secchi,0.3,
163,King,6/13/2023,1:57:00 PM,Secchi ,0.2,
133,Forest ,6/14/2023,4:41:00 PM,Secchi,1.18,
133,Forest ,6/14/2023,4:41:00 PM,Secchi ,1.1,
185,Harrison County ,6/14/2023,10:23:00 AM,Secchi,0.58,
185,Harrison County ,6/14/2023,10:23:00 AM,Secchi ,0.5,
228,Jamesport,6/14/2023,2:10:00 PM,Secchi,0.35,
228,Jamesport,6/14/2023,2:10:00 PM,Secchi ,0.25,
85,Marie,6/14/2023,12:10:00 PM,Secchi,4,
85,Marie,6/14/2023,12:10:00 PM,Secchi ,3.7,
181,Mozingo,6/14/2023,8:12:00 AM,Secchi,1.3,
181,Mozingo,6/14/2023,8:12:00 AM,Secchi ,1.21,
179,Nodoway County,6/14/2023,7:00:00 AM,Secchi,1.3,
179,Nodoway County,6/14/2023,7:00:00 AM,Secchi ,1.2,
89,Truman,6/14/2023,10:40:00 AM,Secchi,1.6,
89,Truman,6/14/2023,10:40:00 AM,Secchi ,1.5,
411,Cedar Lake,6/15/2023,9:20:00 AM,Secchi,0.7,
411,Cedar Lake,6/15/2023,9:20:00 AM,Secchi ,0.65,
57,Deer Ridge ,6/15/2023,10:17:00 AM,Secchi,1.2,
57,Deer Ridge ,6/15/2023,10:17:00 AM,Secchi ,1.05,
