Date,Time,Site,Unit ID,User ID,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
5/17/2019,11:15:30,cow,4,,23.059,738.3,102.6,8.78,141,8.2,109.5,3.99,0.13,0.16,0.451,1.73,0.477
5/17/2019,11:15:31,cow,4,,23.061,738.3,102.6,8.79,140.9,8.22,109.2,4.03,0.18,0.21,0.391,1.48,0.499
5/17/2019,11:15:32,cow,4,,23.063,738.2,102.7,8.79,140.9,8.24,109.3,3.91,0.304,0.33,0.448,1.71,0.524
5/17/2019,11:15:33,cow,4,,23.061,738.3,102.7,8.79,140.8,8.25,109.3,4.06,0.209,0.24,0.454,1.74,0.539
5/17/2019,11:15:34,cow,4,,23.058,738.3,102.6,8.79,140.8,8.26,109.1,4.41,0.046,0.07,0.509,1.96,0.571
5/17/2019,11:15:35,cow,4,,23.039,738.3,102.6,8.79,140.8,8.28,109.1,4.18,0.172,0.2,0.518,1.99,0.588
5/17/2019,11:15:36,cow,4,,22.995,738.2,102.6,8.8,140.7,8.29,109,3.79,0.24,0.27,0.499,1.92,0.606
5/17/2019,11:15:37,cow,4,,22.949,738.3,102.6,8.8,140.7,8.3,109,3.84,0.26,0.29,0.578,2.23,0.648
5/17/2019,11:15:38,cow,4,,22.941,738.3,102.8,8.82,140.6,8.31,109.2,4,0.351,0.38,0.597,2.31,0.658
5/17/2019,11:15:39,cow,4,,22.972,738.3,102.9,8.83,140.6,8.32,109.3,3.95,0.315,0.34,0.575,2.22,0.664
5/17/2019,11:15:40,cow,4,,23.005,738.3,102.9,8.83,140.6,8.33,109.1,4.52,0.203,0.23,0.545,2.1,0.674
5/17/2019,11:15:41,cow,4,,22.992,738.3,103,8.83,140.5,8.34,108.7,4.19,0.15,0.18,0.496,1.91,0.707
5/17/2019,11:15:42,cow,4,,22.981,738.3,103,8.84,140.4,8.35,108.7,3.63,0.078,0.11,0.545,2.1,0.719
5/17/2019,11:15:43,cow,4,,22.992,738.2,103.1,8.84,140.4,8.36,108.6,3.96,0.115,0.14,0.578,2.23,0.738
5/17/2019,11:15:44,cow,4,,22.995,738.2,103,8.84,140.4,8.36,108.6,4.1,0.115,0.14,0.567,2.19,0.784
5/17/2019,11:15:45,cow,4,,22.981,738.2,102.9,8.82,140.5,8.37,108.6,3.9,0.057,0.09,0.595,2.3,0.823
5/17/2019,11:15:46,cow,4,,22.921,738.3,102.7,8.82,140.5,8.37,108.7,3.87,0.076,0.1,0.545,2.1,0.849
5/17/2019,11:15:47,cow,4,,22.858,738.3,102.8,8.83,140.4,8.38,108.7,3.8,0.139,0.17,0.53,2.04,0.88
5/17/2019,11:15:48,cow,4,,22.831,738.3,102.8,8.84,140.3,8.39,108.8,3.81,0.175,0.2,0.587,2.27,0.9
5/17/2019,11:15:49,cow,4,,22.795,738.3,102.8,8.85,140.2,8.39,108.8,3.76,0.185,0.21,0.63,2.44,0.929
5/17/2019,11:15:50,cow,4,,22.795,738.3,102.9,8.85,140.1,8.4,108.5,3.83,0.138,0.17,0.676,2.62,0.948
5/17/2019,11:15:51,cow,4,,22.76,738.3,102.8,8.85,140,8.41,108.4,4.47,0.187,0.22,0.686,2.66,0.985
5/17/2019,11:15:52,cow,4,,22.714,738.3,102.7,8.85,139.8,8.41,108.3,5.74,0.233,0.26,0.663,2.57,1.006
5/17/2019,11:15:53,cow,4,,22.717,738.3,102.7,8.85,139.6,8.41,108.3,4.57,0.136,0.17,0.655,2.54,1.033
5/17/2019,11:15:54,cow,4,,22.688,738.3,102.5,8.84,139.5,8.42,108.2,3.88,0.125,0.15,0.649,2.52,1.053
5/17/2019,11:15:55,cow,4,,22.602,738.3,102.4,8.84,139.5,8.43,108.2,4.61,0.118,0.15,0.729,2.84,1.11
5/17/2019,11:15:56,cow,4,,22.394,738.3,101.8,8.81,139.5,8.43,108.6,4.67,0.141,0.17,0.754,2.94,1.15
5/17/2019,11:15:57,cow,4,,22.237,738.3,101,8.78,139.5,8.42,108.7,4.45,0.155,0.18,0.661,2.57,1.185
5/17/2019,11:15:58,cow,4,,22.005,738.3,99.4,8.66,139.6,8.42,109.1,4.29,0.148,0.18,0.607,2.35,1.23
5/17/2019,11:15:59,cow,4,,20.579,738.3,97.9,8.81,139.6,8.41,109.6,4.41,0.213,0.24,0.513,1.97,1.256
5/17/2019,11:16:00,cow,4,,20.521,738.3,99,8.91,139.3,8.41,109.6,4.93,0.167,0.2,0.512,1.97,1.281
5/17/2019,11:16:01,cow,4,,20.662,738.3,99,8.9,139.2,8.41,109.4,5.36,0.195,0.22,0.59,2.28,1.287
5/17/2019,11:16:02,cow,4,,20.617,738.2,98.3,8.82,139.1,8.4,109.3,4.9,0.129,0.16,0.555,2.14,1.291
5/17/2019,11:16:03,cow,4,,20.559,738.3,97.1,8.72,138.8,8.4,109.3,4.72,0.2,0.23,0.544,2.1,1.305
5/17/2019,11:16:04,cow,4,,20.502,738.3,96.4,8.67,138.6,8.39,109.5,4.89,0.302,0.33,0.554,2.14,1.319
5/17/2019,11:16:05,cow,4,,20.419,738.3,96,8.65,138.2,8.38,109.5,4.95,0.212,0.24,0.627,2.43,1.338
5/17/2019,11:16:06,cow,4,,20.319,738.3,95.7,8.63,137.9,8.38,109.5,5.13,0.318,0.35,0.693,2.69,1.345
5/17/2019,11:16:07,cow,4,,20.267,738.3,95.7,8.64,137.6,8.37,109.3,5.11,0.266,0.29,0.593,2.29,1.364
5/17/2019,11:16:08,cow,4,,20.063,738.2,95.3,8.63,137.4,8.36,109.3,5.12,0.076,0.1,0.574,2.22,1.389
5/17/2019,11:16:09,cow,4,,19.937,738.2,94.3,8.58,137.1,8.36,109.4,5.2,0.042,0.07,0.645,2.5,1.406
5/17/2019,11:16:10,cow,4,,19.849,738.3,94.1,8.57,136.3,8.34,109.5,5.25,0.015,0.04,0.618,2.39,1.419
5/17/2019,11:16:11,cow,4,,19.7,738.2,93.8,8.55,135.3,8.33,109.4,5.41,0.001,0.03,0.574,2.22,1.462
5/17/2019,11:16:12,cow,4,,19.635,738.3,93.5,8.56,135,8.32,109.3,5.36,0.067,0.1,0.578,2.23,1.457
5/17/2019,11:16:13,cow,4,,19.638,738.3,93.1,8.52,134.5,8.31,109.1,5.43,0.11,0.14,0.634,2.46,1.458
5/17/2019,11:16:14,cow,4,,19.377,738.3,92.5,8.48,133.5,8.31,108.9,5.44,0.172,0.2,0.71,2.76,1.512
5/17/2019,11:16:15,cow,4,,19.146,738.2,92.3,8.52,133.4,8.3,108.8,5.29,0.156,0.18,0.71,2.76,1.54
5/17/2019,11:16:16,cow,4,,18.884,738.2,92.1,8.54,133.5,8.3,108.9,5.16,0.124,0.15,0.645,2.5,1.564
5/17/2019,11:16:17,cow,4,,18.739,738.2,92.4,8.6,133.5,8.29,108.9,5.44,0.186,0.22,0.599,2.32,1.577
5/17/2019,11:16:18,cow,4,,18.713,738.1,92.4,8.62,133.4,8.29,108.8,5.56,0.205,0.23,0.631,2.45,1.588
5/17/2019,11:16:19,cow,4,,18.618,738.2,92.3,8.62,133.2,8.28,108.7,5.27,0.169,0.2,0.674,2.62,1.596
5/17/2019,11:16:20,cow,4,,18.568,738.3,92.4,8.64,132.8,8.28,108.7,5.25,0.201,0.23,0.748,2.91,1.614
5/17/2019,11:16:21,cow,4,,18.443,738.3,92.3,8.64,132.3,8.28,108.9,5.26,0.229,0.26,0.778,3.03,1.637
5/17/2019,11:16:22,cow,4,,18.356,738.2,92.3,8.66,131.8,8.27,109.7,5.26,0.189,0.22,0.804,3.14,1.657
5/17/2019,11:16:23,cow,4,,18.287,738.3,92.3,8.68,131.3,8.27,109.8,5.53,0.163,0.19,0.822,3.21,1.673
5/17/2019,11:16:24,cow,4,,18.264,738.3,92.3,8.69,130.6,8.26,109.8,5.68,0.18,0.21,0.814,3.18,1.694
5/17/2019,11:16:25,cow,4,,18.161,738.3,92.1,8.67,130.1,8.25,109.9,5.86,0.4,0.43,0.843,3.29,1.717
5/17/2019,11:16:26,cow,4,,17.981,738.3,91.8,8.67,129.7,8.25,109.9,5.81,0.39,0.42,0.816,3.18,1.738
5/17/2019,11:16:27,cow,4,,17.877,738.3,91.7,8.69,129.2,8.24,109.9,5.51,0.205,0.23,0.843,3.29,1.777
5/17/2019,11:16:28,cow,4,,17.771,738.2,91.5,8.69,129.3,8.24,110,5.53,0.127,0.16,0.857,3.35,1.795
5/17/2019,11:16:29,cow,4,,17.584,738.3,91.4,8.7,129.4,8.24,110,5.44,0.08,0.11,0.816,3.18,1.81
5/17/2019,11:16:30,cow,4,,17.518,738.2,91,8.7,129.2,8.23,110,5.4,0.184,0.21,0.832,3.25,1.837
5/17/2019,11:16:31,cow,4,,17.53,738.3,90.9,8.69,129.2,8.23,110,5.51,0.209,0.24,0.86,3.36,1.847
5/17/2019,11:16:32,cow,4,,17.503,738.3,90.5,8.65,129,8.22,110.1,5.58,0.275,0.3,0.896,3.51,1.862
5/17/2019,11:16:33,cow,4,,17.436,738.3,90,8.61,128.4,8.22,110.1,5.55,0.254,0.28,0.916,3.59,1.883
5/17/2019,11:16:34,cow,4,,17.295,738.3,89.6,8.59,128,8.21,110.2,5.33,0.207,0.24,0.941,3.69,1.908
5/17/2019,11:16:35,cow,4,,17.119,738.3,89.1,8.57,127.7,8.2,110.2,5.44,0.18,0.21,0.911,3.56,1.933
5/17/2019,11:16:36,cow,4,,16.961,738.2,88.8,8.57,127.1,8.2,110.3,5.5,0.181,0.21,0.865,3.38,1.961
5/17/2019,11:16:37,cow,4,,16.888,738.3,88.5,8.57,126.5,8.19,110.5,5.54,0.287,0.32,0.914,3.58,1.991
5/17/2019,11:16:38,cow,4,,16.831,738.3,88.3,8.55,126,8.18,110.6,5.69,0.271,0.3,0.868,3.39,2.032
5/17/2019,11:16:39,cow,4,,16.781,738.3,87.6,8.5,125.6,8.17,110.9,5.59,0.223,0.25,0.832,3.25,2.068
5/17/2019,11:16:40,cow,4,,16.695,738.3,86.7,8.42,125.3,8.15,111.1,5.27,0.136,0.17,0.858,3.35,2.12
5/17/2019,11:16:41,cow,4,,16.625,738.3,86,8.37,125.3,8.15,111.1,5.43,0.154,0.18,0.792,3.09,2.148
5/17/2019,11:16:42,cow,4,,16.591,738.3,85.4,8.32,125.4,8.14,111.2,5.73,0.176,0.21,0.772,3.01,2.194
5/17/2019,11:16:43,cow,4,,16.583,738.3,84.9,8.27,125.3,8.13,111.2,5.56,0.052,0.08,0.784,3.06,2.238
5/17/2019,11:16:44,cow,4,,16.561,738.3,83.5,8.14,125.3,8.12,111.3,5.58,-0.023,0.01,0.906,3.55,2.274
5/17/2019,11:16:45,cow,4,,16.48,738.3,82.8,8.07,125.4,8.11,111.6,5.67,0.044,0.07,0.923,3.62,2.308
5/17/2019,11:16:46,cow,4,,16.406,738.3,81.6,7.97,125.4,8.1,111.7,5.79,0.147,0.18,0.806,3.14,2.338
5/17/2019,11:16:47,cow,4,,16.328,738.2,81.1,7.94,125.4,8.08,111.9,6.09,0.148,0.18,0.838,3.27,2.364
5/17/2019,11:16:48,cow,4,,16.278,738.3,80.3,7.87,125.3,8.07,112.1,6.24,0.124,0.15,0.866,3.38,2.395
5/17/2019,11:16:49,cow,4,,16.248,738.3,79.2,7.77,125.2,8.05,112.2,6.33,0.058,0.09,0.873,3.41,2.423
5/17/2019,11:16:50,cow,4,,16.206,738.3,78.1,7.67,125.1,8.03,112.3,6.66,0.021,0.05,0.816,3.19,2.465
5/17/2019,11:16:51,cow,4,,16.18,738.3,76.7,7.54,125,8.02,112.5,6.92,0.131,0.16,0.773,3.01,2.493
5/17/2019,11:16:52,cow,4,,16.151,738.3,75.7,7.45,124.9,8,112.7,7.15,0.101,0.13,0.818,3.19,2.521
5/17/2019,11:16:53,cow,4,,16.056,738.3,74.1,7.29,124.8,7.98,112.8,7.11,0.073,0.1,0.774,3.02,2.591
5/17/2019,11:16:54,cow,4,,16.027,738.3,72.8,7.18,124.8,7.95,112.9,7.21,0.15,0.18,0.784,3.06,2.643
5/17/2019,11:16:55,cow,4,,16.004,738.3,71.4,7.04,124.9,7.93,113,7.49,0.15,0.18,0.798,3.11,2.664
5/17/2019,11:16:56,cow,4,,15.965,738.2,70,6.91,125,7.92,113.1,7.68,0.177,0.21,0.776,3.03,2.694
5/17/2019,11:16:57,cow,4,,15.942,738.3,68.2,6.74,125.1,7.9,113.2,7.87,0.184,0.21,0.846,3.3,2.745
5/17/2019,11:16:58,cow,4,,15.901,738.3,66.7,6.59,125.2,7.89,113.3,7.87,0.134,0.16,0.874,3.42,2.763
5/17/2019,11:16:59,cow,4,,15.88,738.2,65,6.43,125.3,7.87,113.4,7.91,0.091,0.12,0.891,3.48,2.798
5/17/2019,11:17:00,cow,4,,15.892,738.3,63.4,6.27,125.6,7.86,113.5,7.96,0.089,0.12,0.853,3.33,2.808
5/17/2019,11:17:01,cow,4,,15.88,738.2,61.8,6.11,125.7,7.85,113.6,8.71,0.197,0.23,0.861,3.37,2.834
5/17/2019,11:17:02,cow,4,,15.796,738.2,60.3,5.96,125.8,7.83,113.8,9.15,0.261,0.29,0.963,3.77,2.869
5/17/2019,11:17:03,cow,4,,15.743,738.2,58.6,5.81,126,7.81,113.9,9.2,0.159,0.19,0.985,3.86,2.896
5/17/2019,11:17:04,cow,4,,15.691,738.3,57.3,5.69,126.4,7.8,114,9.95,0.093,0.12,1.005,3.94,2.937
5/17/2019,11:17:05,cow,4,,15.681,738.3,55.6,5.53,126.7,7.79,114.2,10.33,0.103,0.13,1.033,4.05,2.967
5/17/2019,11:17:06,cow,4,,15.686,738.3,54.1,5.37,126.9,7.77,114.5,10.79,0.124,0.15,1.128,4.43,2.992
5/17/2019,11:17:07,cow,4,,15.682,738.3,52.3,5.19,126.9,7.76,114.5,11.25,0.186,0.22,1.27,5,3.039
5/17/2019,11:17:08,cow,4,,15.67,738.2,50.7,5.04,127.1,7.75,114.6,11.53,0.13,0.16,1.258,4.95,3.061
5/17/2019,11:17:09,cow,4,,15.639,738.3,49,4.88,127.3,7.74,114.7,11.63,0.158,0.19,1.248,4.91,3.093
5/17/2019,11:17:10,cow,4,,15.664,738.3,47.7,4.74,127.4,7.73,114.8,11.86,0.223,0.25,1.246,4.9,3.11
5/17/2019,11:17:11,cow,4,,15.709,738.3,46.2,4.59,127.4,7.72,114.9,12.04,0.186,0.21,1.232,4.85,3.121
5/17/2019,11:17:12,cow,4,,15.708,738.2,44.8,4.45,127.6,7.71,114.9,12,0.188,0.22,1.212,4.77,3.151
5/17/2019,11:17:13,cow,4,,15.676,738.3,43.4,4.31,127.8,7.71,114.8,12.19,0.183,0.21,1.21,4.76,3.179
5/17/2019,11:17:14,cow,4,,15.624,738.2,42.1,4.19,127.9,7.7,114.8,12.35,0.162,0.19,1.261,4.97,3.191
5/17/2019,11:17:15,cow,4,,15.595,738.3,40.8,4.06,128,7.69,114.8,12.45,0.168,0.2,1.285,5.06,3.222
5/17/2019,11:17:16,cow,4,,15.587,738.3,39.7,3.95,128.1,7.68,115,12.71,0.221,0.25,1.282,5.05,3.233
5/17/2019,11:17:17,cow,4,,15.583,738.2,38.5,3.83,128.3,7.67,115.1,13.18,0.229,0.26,1.237,4.87,3.253
5/17/2019,11:17:18,cow,4,,15.568,738.3,37.4,3.73,128.5,7.66,115.4,13.06,0.247,0.28,1.257,4.95,3.291
5/17/2019,11:17:19,cow,4,,15.509,738.2,36.1,3.6,128.8,7.65,115.4,13.12,0.171,0.2,1.227,4.83,3.324
5/17/2019,11:17:20,cow,4,,15.481,738.3,35,3.49,129.3,7.64,115.4,13.38,0.22,0.25,1.236,4.87,3.342
5/17/2019,11:17:21,cow,4,,15.459,738.2,33.8,3.37,130,7.63,115.4,13.19,0.237,0.27,1.27,5,3.361
5/17/2019,11:17:22,cow,4,,15.411,738.3,32.7,3.27,130.5,7.62,115.4,13.36,0.085,0.11,1.344,5.3,3.38
5/17/2019,11:17:23,cow,4,,15.326,738.3,31.6,3.16,131.3,7.62,115.4,13.92,0.142,0.17,1.35,5.32,3.407
5/17/2019,11:17:24,cow,4,,15.303,738.3,30.6,3.07,131.7,7.61,115.5,13.9,0.256,0.28,1.305,5.14,3.432
5/17/2019,11:17:25,cow,4,,15.311,738.3,29.6,2.96,131.9,7.59,115.3,13.37,0.239,0.27,1.362,5.37,3.458
5/17/2019,11:17:26,cow,4,,15.306,738.3,28.7,2.87,132.1,7.57,114.9,13.03,0.267,0.3,1.373,5.41,3.471
5/17/2019,11:17:27,cow,4,,15.248,738.3,27.7,2.78,132.6,7.55,114.7,13.12,0.327,0.36,1.334,5.26,3.482
5/17/2019,11:17:28,cow,4,,15.177,738.3,26.9,2.7,133.6,7.54,114.5,13.32,0.292,0.32,1.252,4.93,3.499
5/17/2019,11:17:29,cow,4,,15.181,738.3,26,2.61,134.7,7.53,114,13.02,0.238,0.27,1.316,5.18,3.504
5/17/2019,11:17:30,cow,4,,15.181,738.3,25.3,2.54,135.5,7.52,113.6,13.11,0.212,0.24,1.389,5.48,3.517
5/17/2019,11:17:31,cow,4,,15.163,738.3,24.4,2.45,136.4,7.51,113.3,13.21,0.21,0.24,1.317,5.19,3.548
5/17/2019,11:17:32,cow,4,,15.122,738.3,23.7,2.38,136.9,7.5,112.8,13.06,0.191,0.22,1.331,5.25,3.577
5/17/2019,11:17:33,cow,4,,15.109,738.3,22.9,2.31,137.2,7.49,112.2,13.33,0.156,0.19,1.283,5.05,3.599
5/17/2019,11:17:34,cow,4,,15.108,738.3,22.2,2.24,137.6,7.48,110.5,13.32,0.179,0.21,1.284,5.06,3.625
5/17/2019,11:17:35,cow,4,,15.079,738.3,21.5,2.16,137.8,7.47,109.1,12.97,0.167,0.2,1.332,5.25,3.645
5/17/2019,11:17:36,cow,4,,15.055,738.3,20.9,2.1,138.1,7.47,107.5,12.7,0.157,0.19,1.321,5.21,3.67
5/17/2019,11:17:37,cow,4,,15.054,738.3,20.3,2.04,138.6,7.46,105.7,12.53,0.225,0.25,1.256,4.95,3.694
5/17/2019,11:17:38,cow,4,,15.073,738.3,19.8,1.99,139.2,7.45,104.1,12.61,0.269,0.3,1.279,5.04,3.694
5/17/2019,11:17:39,cow,4,,15.07,738.3,19.2,1.94,139.7,7.44,101.9,13.01,0.173,0.2,1.304,5.14,3.694
5/17/2019,11:17:40,cow,4,,15.041,738.3,18.8,1.89,140.3,7.43,98,13.19,0.059,0.09,1.243,4.9,3.735
5/17/2019,11:17:41,cow,4,,15.011,738.2,18.3,1.84,140.6,7.42,93.2,13.2,0.173,0.2,1.241,4.89,3.759
5/17/2019,11:17:42,cow,4,,14.998,738.3,17.8,1.8,141.1,7.41,90.4,13.31,0.244,0.27,1.235,4.86,3.775
5/17/2019,11:17:43,cow,4,,14.976,738.2,17.4,1.75,141.5,7.4,89.8,13.68,0.234,0.26,1.31,5.16,3.808
5/17/2019,11:17:44,cow,4,,14.966,738.3,17,1.71,141.7,7.4,88.9,14.22,0.283,0.31,1.227,4.83,3.838
5/17/2019,11:17:45,cow,4,,14.95,738.3,16.6,1.67,142,7.39,87.4,14.62,0.218,0.25,1.157,4.55,3.861
5/17/2019,11:17:46,cow,4,,14.938,738.3,16.2,1.63,142.4,7.38,85.8,14.23,0.172,0.2,1.266,4.98,3.89
5/17/2019,11:17:47,cow,4,,14.921,738.2,15.8,1.59,142.6,7.38,83.8,14.19,0.241,0.27,1.243,4.89,3.904
5/17/2019,11:17:48,cow,4,,14.91,738.3,15.5,1.56,143.1,7.37,83.3,13.87,0.262,0.29,1.292,5.09,3.904
5/17/2019,11:17:49,cow,4,,14.907,738.2,15.1,1.52,143.1,7.37,81.9,14.47,0.256,0.29,1.308,5.16,3.892
5/17/2019,11:17:50,cow,4,,14.899,738.3,14.8,1.49,143.3,7.37,80.2,14.48,0.201,0.23,1.171,4.61,3.897
5/17/2019,11:17:51,cow,4,,14.877,738.2,14.4,1.45,143.7,7.36,78.2,14.27,0.128,0.16,1.235,4.86,3.929
5/17/2019,11:17:52,cow,4,,14.861,738.3,14.1,1.42,144,7.34,65.8,14.8,0.146,0.17,1.308,5.16,3.967
5/17/2019,11:17:53,cow,4,,14.843,738.3,13.7,1.39,144.4,7.33,62.5,14.16,0.172,0.2,1.228,4.83,4.001
5/17/2019,11:17:54,cow,4,,14.821,738.3,13.5,1.36,144.9,7.32,60.2,14.5,0.159,0.19,1.189,4.68,4.033
5/17/2019,11:17:55,cow,4,,14.817,738.3,13.2,1.33,145.2,7.31,59,14.84,0.119,0.15,1.145,4.5,4.053
5/17/2019,11:17:56,cow,4,,14.789,738.2,12.9,1.31,145.5,7.3,57.2,14.8,0.209,0.24,1.14,4.48,4.062
5/17/2019,11:17:57,cow,4,,14.767,738.3,12.7,1.28,145.7,7.29,55,14.01,0.247,0.28,1.164,4.58,4.072
5/17/2019,11:17:58,cow,4,,14.757,738.3,12.4,1.26,146.2,7.29,52.7,13.98,0.182,0.21,1.124,4.42,4.093
5/17/2019,11:17:59,cow,4,,14.724,738.3,12.2,1.23,146.9,7.28,51,13.8,0.161,0.19,1.078,4.23,4.122
5/17/2019,11:18:00,cow,4,,14.714,738.3,11.9,1.21,147,7.27,48.9,13.89,0.157,0.19,1.045,4.1,4.13
5/17/2019,11:18:01,cow,4,,14.713,738.3,11.7,1.19,147.4,7.26,46.8,14.8,0.189,0.22,1.114,4.38,4.147
5/17/2019,11:18:02,cow,4,,14.692,738.3,11.5,1.17,148.1,7.25,38.3,15.18,0.306,0.33,1.113,4.38,4.167
5/17/2019,11:18:03,cow,4,,14.649,738.3,11.3,1.15,149.8,7.23,36.2,14.62,0.269,0.3,1.085,4.26,4.202
5/17/2019,11:18:04,cow,4,,14.638,738.3,11.2,1.14,150.4,7.23,32.3,14.68,0.204,0.23,1.11,4.36,4.228
5/17/2019,11:18:05,cow,4,,14.628,738.3,11,1.12,151,7.22,30.5,14.82,0.215,0.24,1.09,4.28,4.255
5/17/2019,11:18:06,cow,4,,14.613,738.3,10.8,1.1,151.6,7.21,28.6,14.78,0.132,0.16,1.132,4.45,4.273
5/17/2019,11:18:07,cow,4,,14.601,738.2,10.7,1.08,152,7.21,25.9,14.99,0.103,0.13,1.039,4.08,4.293
5/17/2019,11:18:08,cow,4,,14.575,738.3,10.5,1.07,152.7,7.2,24.4,16.66,0.094,0.12,1.029,4.04,4.32
5/17/2019,11:18:09,cow,4,,14.567,738.3,10.3,1.05,153.4,7.19,23.3,16.63,0.216,0.25,1.09,4.28,4.343
5/17/2019,11:18:10,cow,4,,14.57,738.3,10.2,1.04,154,7.19,20.8,15.76,0.379,0.41,1.113,4.37,4.382
5/17/2019,11:18:11,cow,4,,14.575,738.3,10,1.02,154.1,7.18,18.7,15.85,0.43,0.46,1.752,6.93,4.398
5/17/2019,11:18:12,cow,4,,14.579,738.3,9.9,1,154.1,7.18,18.3,16.49,0.392,0.42,2.123,8.41,4.403
5/17/2019,11:18:13,cow,4,,14.581,738.3,9.7,0.99,154.1,7.18,17.4,17.76,0.317,0.35,1.736,6.86,4.408
5/17/2019,11:18:14,cow,4,,14.585,738.3,9.6,0.98,154.2,7.18,16.3,28.45,0.338,0.37,1.699,6.72,4.411
5/17/2019,11:18:15,cow,4,,14.587,738.3,9.5,0.96,154.3,7.18,15.7,20.61,0.3,0.33,1.862,7.37,4.413
5/17/2019,11:18:16,cow,4,,14.589,738.3,9.3,0.95,154.4,7.18,14.9,18.34,0.474,0.5,2.131,8.45,4.416
5/17/2019,11:18:17,cow,4,,14.585,738.3,9.2,0.94,154.6,7.18,14.1,14.67,1.701,1.73,7.568,30.2,4.435
5/17/2019,11:18:18,cow,4,,14.567,738.3,9.1,0.92,154.8,7.17,13.2,18.29,2.388,2.42,10.619,42.41,4.43
