dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber,depthDiff_m,verticalPositionDiff_m
2020-06-30T10:36:48Z,0.38666666666666666,16.320333333333334,0.2,0.02,124.76666666666667,1.5966666666666667,0.12,250.93333333333334,-5.788058472904386e-19,163,3.48,7.11,23.422666666666665,16.331,38.204723333333334,-92.62762,199.36666666666667,985.8333333333334,2020-06-30,2020-06-30T10:36:48Z,149,0.07333333333333414,0.06766666666666765
2020-06-30T10:36:51Z,0.37333333333333335,16.393666666666668,0.2,0.02,124.56666666666666,1.6036666666666668,0.12,251.26666666666668,0.03,163,3.3966666666666665,7.11,23.381333333333334,16.398666666666667,38.20473,-92.62762,199.66666666666666,985.7666666666667,2020-06-30,2020-06-30T10:36:51Z,149,0.12033333333333118,0.1386666666666656
2020-06-30T10:36:54Z,0.37666666666666665,16.514,0.2,0.02,124.4,1.6153333333333333,0.12,251.36666666666667,0.03333333333333333,163,3.42,7.11,23.331666666666667,16.537333333333333,38.20473,-92.62762333333333,199.53333333333333,985.8,2020-06-30,2020-06-30T10:36:54Z,149,0.20566666666666933,0.20333333333333314
2020-06-30T10:36:57Z,0.38666666666666666,16.71966666666667,0.2,0.016666666666666666,124.16666666666667,1.6356666666666666,0.12,251.23333333333335,0.01,163,3.3766666666666665,7.11,23.227666666666668,16.740666666666666,38.20473,-92.62763,199.23333333333332,985.7666666666667,2020-06-30,2020-06-30T10:36:57Z,149,0.10299999999999798,0.08433333333333337
2020-06-30T10:37:00Z,0.4033333333333333,16.822666666666667,0.2,0.01,123.93333333333334,1.646,0.12,250.83333333333334,0.02666666666666667,163,3.3466666666666667,7.11,23.141,16.825,38.20473,-92.62764,199.2,985.8,2020-06-30,2020-06-30T10:37:00Z,149,0.08399999999999963,0.08699999999999974
2020-06-30T10:37:03Z,0.38,16.906666666666666,0.13333333333333333,0.01,123.73333333333333,1.654,0.12,251.20000000000002,-0.009999999999999998,163,3.4,7.11,23.05,16.912,38.20473,-92.62764333333334,199.23333333333332,985.7666666666667,2020-06-30,2020-06-30T10:37:03Z,149,0.02499999999999858,0.021666666666668277
2020-06-30T10:37:06Z,0.37666666666666665,16.931666666666665,0.1,0.01,123.53333333333333,1.6566666666666667,0.12,251.36666666666667,0.01,163,3.3733333333333335,7.11,23.022333333333332,16.933666666666667,38.20473,-92.62765,199.2,985.8,2020-06-30,2020-06-30T10:37:06Z,149,0.04800000000000182,0.05999999999999872
2020-06-30T10:37:09Z,0.38666666666666666,16.979666666666667,0.1,0.01,123.36666666666667,1.661,0.12,251.63333333333333,0.02666666666666667,163.66666666666666,3.293333333333333,7.11,22.996333333333332,16.993666666666666,38.20473,-92.62765666666667,199.23333333333332,985.8,2020-06-30,2020-06-30T10:37:09Z,149,0.20066666666666677,0.20566666666666578
2020-06-30T10:37:12Z,0.32333333333333336,17.180333333333333,0.1,0.01,123.3,1.681,0.12,252.16666666666666,-0.02666666666666667,164,3.35,7.11,22.938333333333333,17.199333333333332,38.20473,-92.62766,199.23333333333332,985.8,2020-06-30,2020-06-30T10:37:12Z,149,0.08599999999999852,0.0796666666666681
2020-06-30T10:37:15Z,0.38,17.266333333333332,0.1,0.01,123.2,1.689,0.12,252.4,-0.006666666666666666,164,3.2333333333333334,7.11,22.894666666666666,17.279,38.20473,-92.62766,199.23333333333332,985.8,2020-06-30,2020-06-30T10:37:15Z,149,0.15399999999999991,0.15133333333333354
2020-06-30T10:37:18Z,0.38666666666666666,17.420333333333332,0.1,0.01,123.1,1.7043333333333333,0.12,252.43333333333334,-0.016666666666666666,164,3.3866666666666667,7.11,22.817666666666668,17.430333333333333,38.20473,-92.62766,199.03333333333333,985.8,2020-06-30,2020-06-30T10:37:18Z,149,0.10000000000000142,0.09833333333333272
2020-06-30T10:37:21Z,0.3666666666666667,17.520333333333333,0.1,0.01,123,1.714,0.12,252.36666666666667,0.026666666666666665,164,3.3966666666666665,7.1066666666666665,22.748666666666665,17.528666666666666,38.20473,-92.62767,198.93333333333334,985.7666666666667,2020-06-30,2020-06-30T10:37:21Z,149,0.08766666666666723,0.08633333333333582
