Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
181_2018_09_12.csv,181,2018,09,12,csv,Yes,2023-06-25,2018-09-12,10.344,40.35559117647059,-94.77834221719456,319.0633484162896,981.0479638009049,2.05,2.21,290,290,221,181_2018_09_12_Level1.csv
182_2018_05_30_P.csv,182,2018,05,30,P,Yes,2023-06-25,2018-05-30,8.757,NA,NA,NA,980.4949891067538,0.25,0.25666666666666665,220,220,153,182_2018_05_30_P_Level1.csv
182_2018_06_19_P.csv,182,2018,06,19,P,Yes,2023-06-25,2018-06-19,8.656,NA,NA,NA,989.0103286384976,0.25,0.25,171,171,142,182_2018_06_19_P_Level1.csv
182_2018_07_17_P.csv,182,2018,07,17,P,Yes,2023-06-25,2018-07-17,8.17,NA,NA,NA,995.2566210045662,0.13,0.13,183,183,146,182_2018_07_17_P_Level1.csv
182_2018_08_07_P.csv,182,2018,08,07,P,Yes,2023-06-25,2018-08-07,8.152083333333334,NA,NA,NA,991.9210084033614,0.27,0.2754166666666667,1595,134,119,182_2018_08_07_P_Level1.csv
183_2018_06_13_P.csv,183,2018,06,13,P,Yes,2023-06-25,2018-06-13,6.054,NA,NA,NA,989.7844444444444,0.16,0.16333333333333333,390,390,60,183_2018_06_13_P_Level1.csv
183_2018_07_06_P.csv,183,2018,07,06,P,Yes,2023-06-25,2018-07-06,3.255,NA,NA,NA,999.455,0.03,0.03,158,158,80,183_2018_07_06_P_Level1.csv
183_2018_07_11_P.csv,183,2018,07,11,P,Yes,2023-06-25,2018-07-11,3.703,NA,NA,NA,990.6837606837606,0.17,0.17,98,98,78,183_2018_07_11_P_Level1.csv
183_2018_08_01_P.csv,183,2018,08,01,P,Yes,2023-06-25,2018-08-01,3.5524999999999998,NA,NA,NA,989.7928315412186,0.25,0.25527777777777777,841,71,62,183_2018_08_01_P_Level1.csv
184_2018_05_21_P.csv,184,2018,05,21,P,Yes,2023-06-25,2018-05-21,6.947,NA,NA,NA,985.6743718592965,0.05,0.056666666666666664,232,232,199,184_2018_05_21_P_Level1.csv
184_2018_06_11_P.csv,184,2018,06,11,P,Yes,2023-06-25,2018-06-11,6.019,NA,NA,NA,978.7764705882354,0.06,0.06,145,145,119,184_2018_06_11_P_Level1.csv
184_2018_07_09_P.csv,184,2018,07,09,P,Yes,2023-06-25,2018-07-09,5.89,NA,NA,NA,991.7895316804407,0.08,0.08,142,142,121,184_2018_07_09_P_Level1.csv
184_2018_07_30_P.csv,184,2018,07,30,P,Yes,2023-06-25,2018-07-30,6.447,NA,NA,NA,986.2846075433232,0.22,0.22,1441,121,109,184_2018_07_30_P_Level1.csv
185_2018_06_20_P.csv,185,2018,06,20,P,Yes,2023-06-25,2018-06-20,6.13,NA,NA,NA,973.6558823529411,0.14,0.14,157,157,136,185_2018_06_20_P_Level1.csv
185_2018_07_18_P.csv,185,2018,07,18,P,Yes,2023-06-25,2018-07-18,6.158,NA,NA,NA,982.2783068783069,0.08,0.08,158,158,126,185_2018_07_18_P_Level1.csv
185_2018_08_08.csv,185,2018,08,08,csv,Yes,2023-06-25,2018-08-08,6.2415,40.39861349358974,-94.08650370726495,289.0417735042735,981.8501424501425,0.18,0.18638888888888888,1089,92,78,185_2018_08_08_Level1.csv
185_2018_08_08_P.csv,185,2018,08,08,P,Yes,2023-06-25,2018-08-08,6.226083333333333,NA,NA,NA,981.8496124031008,0.18,0.18666666666666668,1277,107,86,185_2018_08_08_P_Level1.csv
185_2018_09_11_P.csv,185,2018,09,11,P,Yes,2023-06-25,2018-09-11,5.702083333333333,40.374045539215686,-93.97164524509805,287.39607843137253,981.7021241830065,2.43,2.362638888888889,4811,402,136,185_2018_09_11_P_Level1.csv
186_2018_06_05_P.csv,186,2018,06,05,P,Yes,2023-06-25,2018-06-05,2.861,NA,NA,NA,978.3133333333334,5,5.033333333333333,111,111,80,186_2018_06_05_P_Level1.csv
186_2018_07_24_P.csv,186,2018,07,24,P,Yes,2023-06-25,2018-07-24,2.78,NA,NA,NA,980.6702222222222,0.3,0.30833333333333335,103,103,75,186_2018_07_24_P_Level1.csv
186_2018_08_14.csv,186,2018,08,14,csv,Yes,2023-06-25,2018-08-14,2.9821666666666666,NA,NA,NA,979.4350877192983,0.22,0.22611111111111112,831,71,57,186_2018_08_14_Level1.csv
186_2018_09_30.csv,186,2018,09,30,csv,Yes,2023-06-25,2018-09-30,3.674,37.73016428571429,-90.63492014285714,310.1642857142857,985.1066666666666,2.82,2.8433333333333333,122,122,70,186_2018_09_30_Level1.csv
194_2018_05_23.csv,194,2018,05,23,csv,Yes,2023-06-25,2018-05-23,6.708,NA,NA,NA,982.8054054054054,0.39,0.39166666666666666,214,214,148,194_2018_05_23_Level1.csv
194_2018_06_13.csv,194,2018,06,13,csv,Yes,2023-06-25,2018-06-13,6.2,NA,NA,NA,981.2708333333334,0.56,0.585,119,119,96,194_2018_06_13_Level1.csv
194_2018_07_11.csv,194,2018,07,11,csv,Yes,2023-06-25,2018-07-11,7.129,NA,NA,NA,981.8590163934426,0.12,0.125,146,146,122,194_2018_07_11_Level1.csv
194_2018_08_01.csv,194,2018,08,01,csv,Yes,2023-06-25,2018-08-01,7.17675,NA,NA,NA,980.6618803418803,0.2,0.2,1720,145,130,194_2018_08_01_Level1.csv
198_2018_05_23.csv,198,2018,05,23,csv,Yes,2023-06-25,2018-05-23,2.296,NA,NA,NA,991.1059829059828,0.16,0.165,115,115,78,198_2018_05_23_Level1.csv
198_2018_06_13.csv,198,2018,06,13,csv,Yes,2023-06-25,2018-06-13,2.727,NA,NA,NA,990.432183908046,0.29,0.3,78,78,58,198_2018_06_13_Level1.csv
198_2018_07_11.csv,198,2018,07,11,csv,Yes,2023-06-25,2018-07-11,2.291,NA,NA,NA,990.9777777777778,0.24,0.24,78,78,57,198_2018_07_11_Level1.csv
198_2018_08_01.csv,198,2018,08,01,csv,Yes,2023-06-25,2018-08-01,2.4471666666666665,NA,NA,NA,990.1618448637316,0.23,0.24430555555555555,798,67,53,198_2018_08_01_Level1.csv
202_2018_05_29.csv,202,2018,05,29,csv,Yes,2023-06-25,2018-05-29,8.371,NA,NA,NA,984.1162861491629,0.1,0.1,270,270,219,202_2018_05_29_Level1.csv
202_2018_06_18.csv,202,2018,06,18,csv,Yes,2023-06-25,2018-06-18,7.243,NA,NA,NA,990.2692556634305,0.2,0.20333333333333334,127,127,103,202_2018_06_18_Level1.csv
202_2018_07_16.csv,202,2018,07,16,csv,Yes,2023-06-25,2018-07-16,8.032,NA,NA,NA,988.2743801652894,0.17,0.17833333333333334,147,147,121,202_2018_07_16_Level1.csv
202_2018_08_06.csv,202,2018,08,06,csv,Yes,2023-06-25,2018-08-06,7.80225,NA,NA,NA,990.2672955974843,0.26,0.26319444444444445,1410,118,106,202_2018_08_06_Level1.csv
219_2018_05_31.csv,219,2018,05,31,csv,Yes,2023-06-25,2018-05-31,3.821,NA,NA,NA,981.362962962963,0.39,0.415,116,116,54,219_2018_05_31_Level1.csv
219_2018_06_28.csv,219,2018,06,28,csv,Yes,2023-06-25,2018-06-28,4.025,NA,NA,NA,984.06735395189,0.14,0.14,188,188,97,219_2018_06_28_Level1.csv
219_2018_08_01.csv,219,2018,08,01,csv,Yes,2023-06-25,2018-08-01,3.282,NA,NA,NA,993.8723809523809,0.03,0.04,304,304,70,219_2018_08_01_Level1.csv
223_2018_05_30.csv,223,2018,05,30,csv,Yes,2023-06-25,2018-05-30,3.886,NA,NA,NA,976.2898550724639,0.11,0.11,114,114,92,223_2018_05_30_Level1.csv
223_2018_06_19.csv,223,2018,06,19,csv,Yes,2023-06-25,2018-06-19,3.966,NA,NA,NA,985.6225108225108,0.14,0.14166666666666666,106,106,77,223_2018_06_19_Level1.csv
223_2018_07_17.csv,223,2018,07,17,csv,Yes,2023-06-25,2018-07-17,3.262,NA,NA,NA,989.696803652968,0.17,0.17,97,97,73,223_2018_07_17_Level1.csv
223_2018_08_07.csv,223,2018,08,07,csv,Yes,2023-06-25,2018-08-07,3.7165833333333333,NA,NA,NA,987.086703096539,0.27,0.27347222222222223,909,76,61,223_2018_08_07_Level1.csv
236_2018_06_06.csv,236,2018,06,06,csv,Yes,2023-06-25,2018-06-06,2.986,NA,NA,NA,981.0054421768707,0.19,0.19833333333333333,126,126,98,236_2018_06_06_Level1.csv
236_2018_06_27.csv,236,2018,06,27,csv,Yes,2023-06-25,2018-06-27,3.234,NA,NA,NA,980.2265060240965,0.18,0.18833333333333332,121,121,83,236_2018_06_27_Level1.csv
236_2018_07_25.csv,236,2018,07,25,csv,Yes,2023-06-25,2018-07-25,3.052,NA,NA,NA,987.1071729957805,0.32,0.33333333333333337,116,116,79,236_2018_07_25_Level1.csv
236_2018_08_15.csv,236,2018,08,15,csv,Yes,2023-06-25,2018-08-15,3.2006666666666668,NA,NA,NA,981.929411764706,0.42,0.45402777777777775,719,61,51,236_2018_08_15_Level1.csv
240_2018_06_06.csv,240,2018,06,06,csv,Yes,2023-06-25,2018-06-06,6.094,NA,NA,NA,983.8207282913165,2.47,2.5033333333333334,139,139,119,240_2018_06_06_Level1.csv
240_2018_06_27.csv,240,2018,06,27,csv,Yes,2023-06-25,2018-06-27,8.716,NA,NA,NA,982.6307426597582,0.09,0.09666666666666666,258,258,193,240_2018_06_27_Level1.csv
240_2018_07_25.csv,240,2018,07,25,csv,Yes,2023-06-25,2018-07-25,10.865,NA,NA,NA,989.7219430485761,0.18,0.18,227,227,199,240_2018_07_25_Level1.csv
240_2018_08_15.csv,240,2018,08,15,csv,Yes,2023-06-25,2018-08-15,10.846666666666666,NA,NA,NA,984.2508158508159,0.1,0.10125,1807,152,143,240_2018_08_15_Level1.csv
243_2018_05_22.csv,243,2018,05,22,csv,Yes,2023-06-25,2018-05-22,1.815,NA,NA,NA,983.4309523809524,1.06,1.0766666666666667,96,96,56,243_2018_05_22_Level1.csv
243_2018_06_12.csv,243,2018,06,12,csv,Yes,2023-06-25,2018-06-12,1.933,NA,NA,NA,978.8289855072464,5.18,5.168333333333333,77,77,46,243_2018_06_12_Level1.csv
243_2018_07_10.csv,243,2018,07,10,csv,Yes,2023-06-25,2018-07-10,1.832,NA,NA,NA,986.6311111111111,0.98,1.0033333333333334,75,75,45,243_2018_07_10_Level1.csv
243_2018_07_31.csv,243,2018,07,31,csv,Yes,2023-06-25,2018-07-31,1.6656666666666666,NA,NA,NA,984.2194444444445,0.542,0.63075,575,49,32,243_2018_07_31_Level1.csv
248_2018_05_16.csv,248,2018,05,16,csv,Yes,2023-06-25,2018-05-16,5.817,NA,NA,NA,982.7844155844156,8.44,7.531666666666666,96,96,77,248_2018_05_16_Level1.csv
248_2018_06_11.csv,248,2018,06,11,csv,Yes,2023-06-25,2018-06-11,4.488,NA,NA,NA,980.6222222222221,0.13,0.14166666666666666,159,159,105,248_2018_06_11_Level1.csv
248_2018_07_09.csv,248,2018,07,09,csv,Yes,2023-06-25,2018-07-09,5.475,NA,NA,NA,993.4215223097113,0.15,0.15333333333333332,145,145,127,248_2018_07_09_Level1.csv
248_2018_07_30.csv,248,2018,07,30,csv,Yes,2023-06-25,2018-07-30,5.501333333333333,NA,NA,NA,987.661918328585,0.2,0.20236111111111113,1560,131,117,248_2018_07_30_Level1.csv
250_2018_05_30.csv,250,2018,05,30,csv,Yes,2023-06-25,2018-05-30,6.936,NA,NA,NA,973.3324840764332,0.19,0.19,180,180,157,250_2018_05_30_Level1.csv
250_2018_06_19.csv,250,2018,06,19,csv,Yes,2023-06-25,2018-06-19,6.74,NA,NA,NA,982.368044077135,0.18,0.18166666666666667,151,151,121,250_2018_06_19_Level1.csv
250_2018_07_17.csv,250,2018,07,17,csv,Yes,2023-06-25,2018-07-17,6.609,NA,NA,NA,986.638418079096,0.41,0.435,137,137,118,250_2018_07_17_Level1.csv
250_2018_08_07.csv,250,2018,08,07,csv,Yes,2023-06-25,2018-08-07,6.744583333333333,NA,NA,NA,983.0584192439862,0.23,0.23,1275,108,97,250_2018_08_07_Level1.csv
251_2018_05_31.csv,251,2018,05,31,csv,Yes,2023-06-25,2018-05-31,5.823,NA,NA,NA,975.6828828828828,0.31,0.325,142,142,111,251_2018_05_31_Level1.csv
251_2018_06_20.csv,251,2018,06,20,csv,Yes,2023-06-25,2018-06-20,6.294,NA,NA,NA,977.8822510822511,0.21,0.21333333333333332,178,178,154,251_2018_06_20_Level1.csv
251_2018_07_18.csv,251,2018,07,18,csv,Yes,2023-06-25,2018-07-18,5.884,NA,NA,NA,985.4553535353535,0.1,0.10500000000000001,186,186,165,251_2018_07_18_Level1.csv
251_2018_08_08.csv,251,2018,08,08,csv,Yes,2023-06-25,2018-08-08,5.5675,NA,NA,NA,982.8070175438597,0.29,0.29,1059,90,76,251_2018_08_08_Level1.csv
