MULakeNumber,waterBody,waterBodyLatitude,waterBodyLongitude,site_latitude,site_longitude
159,Harmony Mission C.A.,38.0735,-94.4288,NA,NA
160,Four Rivers,38.015,-94.3367,NA,NA
161,Bushwacker,37.6717,-94.4056,NA,NA
162,Maple Leaf,38.9889,-93.7806,38.98996888111888,-93.78043629370627
163,King,40.02,-94.4372,40.0210732944338,-94.43717715793667
164,Elmwood,40.2244,-93.1156,NA,NA
165,Jackrabbit,38.8886,-94.3228,38.888991429009934,-94.32393817925976
166,Catclaw,38.8892,-94.3167,NA,NA
167,Cottontail,38.8831,-94.3161,38.88517799130775,-94.31769280467181
168,Nell,38.8797,-94.3228,38.87986604170004,-94.32299526286951
169,Gopher,38.8733,-94.3147,38.87402963768292,-94.31508582828728
170,Coot,38.8694,-94.3398,38.86996167842868,-94.33970148939626
178,Daniel Boone,39.7896,-92.2631,NA,NA
179,Nodaway County,40.4264,-94.8578,40.42225841267284,-94.87478651642712
180,Bilby Ranch,40.3481,-95.1333,40.35443759694499,-95.11586584226004
181,Mozingo,40.3495,-94.7776,40.350878346199195,-94.77769366922739
182,Fox Valley,40.4977,-91.7668,40.49794785226231,-91.76692529653567
183,Hazel Hill,38.8458,-93.7779,38.84578892838168,-93.77748988620233
184,Manito,38.5911,-92.8072,38.59101883625418,-92.8064521247967
185,Harrison County,40.3988,-94.0871,40.39691240100595,-94.08028454807193
186,Carl DiSalvo,37.7297,-90.6347,37.73085954488316,-90.63408497147877
187,Belcher Branch,39.5839,-94.7331,NA,NA
188,Big Oak,36.6403,-89.2919,NA,NA
189,Butler City,38.2756,-94.4286,NA,NA
190,Charity,40.4756,-95.5842,NA,NA
191,Indian Creek,39.8975,-93.6957,NA,NA
192,Jo Shelby,39.7168,-93.3222,NA,NA
193,Busch 37,38.7133,-90.7913,NA,NA
194,Lawson City,39.4547,-94.2022,NA,NA
195,Limpp,40.0625,-94.5381,NA,NA
196,Lone Jack,38.8917,-94.1942,NA,NA
197,Prairie,38.7083,-90.6903,38.70941187666625,-90.6905592887665
198,Ray County,39.3092,-93.9939,NA,NA
199,Rothwell,39.4183,-92.4617,NA,NA
200,Savannah City,39.9492,-94.863,NA,NA
201,Upper Big,36.9544,-89.3648,NA,NA
202,Whiteside,39.1722,-91.0111,NA,NA
203,Willow Brook,39.8722,-94.3811,NA,NA
204,Worth County,40.3994,-94.5247,NA,NA
211,Cameron (Sunrise),39.7627,-94.2583,39.76290278713659,-94.25829500823983
212,Grindstone,39.773,-94.2942,NA,NA
213,Cameron (Eagle),39.7739,-94.2722,39.77060476563614,-94.18742082893502
214,Bennitt,39.2448,-92.4586,NA,NA
215,White,39.3264,-91.8642,NA,NA
216,Big Whetstone,38.9657,-91.7347,38.965606538461536,-91.73466455128204
217,Windy Whetstone,38.9594,-91.7338,NA,NA
218,Bucklin City,39.7672,-92.8814,NA,NA
219,Dairy 1,38.9938,-92.489,38.99406804007928,-92.48903113436762
220,Dairy 3,38.9896,-92.4727,NA,NA
221,Edina (Section 7),40.1844,-92.164,NA,NA
222,Ewing,40.0211,-91.7171,NA,NA
223,Greenly Farms,40.0171,-92.1924,NA,NA
224,Happy Holler,40.0256,-94.7336,NA,NA
225,Higbee Railroad,39.3052,-92.5193,NA,NA
226,Higbee City,39.3109,-92.4961,NA,NA
227,Horseshoe,38.9447,-91.7184,NA,NA
228,Jamesport Community,39.9987,-93.8423,39.99827986152806,-93.84273203826909
229,King City (West),40.0641,-94.5127,NA,NA
230,King City (East),40.0619,-94.5085,NA,NA
231,LaPlata (West),40.0186,-92.4653,NA,NA
