Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,Level1FileName
074_2019_06_10.csv,074,2019,06,10,csv,Yes,2023-06-19,2019-06-10,8.025,NA,NA,NA,996.4172043010752,0.11,0.11166666666666666,074_2019_06_10_Level1.csv
074_2019_07_08.csv,074,2019,07,08,csv,Yes,2023-06-19,2019-07-08,8.345,NA,NA,NA,985.3734627831716,0.08,0.08,074_2019_07_08_Level1.csv
087_2019_05_23.csv,087,2019,05,23,csv,Yes,2023-06-19,2019-05-23,10.136,NA,NA,NA,991.7411111111111,-0.01,-0.01,087_2019_05_23_Level1.csv
087_2019_06_12.csv,087,2019,06,12,csv,Yes,2023-06-19,2019-06-12,9.997,NA,NA,NA,986.989029535865,0.07,0.07,087_2019_06_12_Level1.csv
092_2019_06_04.csv,092,2019,06,04,csv,Yes,2023-06-19,2019-06-04,20.34,NA,NA,NA,981.6882205513784,1.27,1.34,092_2019_06_04_Level1.csv
092_2019_07_19_a.csv,092,2019,07,19,a,Yes,2023-06-19,2019-07-19,27.293,37.89932760479042,-93.31571083832335,256.1928143712575,986.0487025948104,-0.14,-0.14,092_2019_07_19_a_Level1.csv
092_2019_07_24.csv,092,2019,07,24,csv,Yes,2023-06-19,2019-07-24,30.832,NA,NA,NA,992.1235042735043,0.01,0.01,092_2019_07_24_Level1.csv
093_2019_06_05.csv,093,2019,06,05,csv,Yes,2023-06-19,2019-06-05,23.701,NA,NA,NA,979.3459407831901,4.52,4.523333333333333,093_2019_06_05_Level1.csv
093_2019_07_23.csv,093,2019,07,23,csv,Yes,2023-06-19,2019-07-23,30.128,NA,NA,NA,992.1215574548908,0.01,0.01,093_2019_07_23_Level1.csv
093_2019_08_13.csv,093,2019,08,13,csv,Yes,2023-06-19,2019-08-13,26.278,NA,NA,NA,985.1409929078013,0.09,0.08333333333333333,093_2019_08_13_Level1.csv
096_2019_06_05.csv,096,2019,06,05,csv,Yes,2023-06-19,2019-06-05,19.153,NA,NA,NA,968.017610062893,2.92,2.92,096_2019_06_05_Level1.csv
096_2019_07_24.csv,096,2019,07,24,csv,Yes,2023-06-19,2019-07-24,18.9,NA,NA,NA,979.5449838187702,0.12,0.12333333333333334,096_2019_07_24_Level1.csv
096_2019_08_14.csv,096,2019,08,14,csv,Yes,2023-06-19,2019-08-14,18.834,NA,NA,NA,975.1140495867768,0.1,0.1,096_2019_08_14_Level1.csv
098_2019_06_05.csv,098,2019,06,05,csv,Yes,2023-06-19,2019-06-05,25.65,NA,NA,NA,980.4154639175257,7.65,7.65,098_2019_06_05_Level1.csv
098_2019_07_24.csv,098,2019,07,24,csv,Yes,2023-06-19,2019-07-24,58.113,NA,NA,NA,992.0330206378986,0.21,0.21,098_2019_07_24_Level1.csv
098_2019_08_14.csv,098,2019,08,14,csv,Yes,2023-06-19,2019-08-14,51.353,NA,NA,NA,986.1391419141914,0.15,0.15666666666666668,098_2019_08_14_Level1.csv
107_2019_05_30.csv,107,2019,05,30,csv,Yes,2023-06-19,2019-05-30,5.681,NA,NA,NA,971.2316666666666,0.07,0.07333333333333333,107_2019_05_30_Level1.csv
107_2019_07_16.csv,107,2019,07,16,csv,Yes,2023-06-19,2019-07-16,5.83,NA,NA,NA,972.9277192982456,0.04,0.04,107_2019_07_16_Level1.csv
107_2019_08_07.csv,107,2019,08,07,csv,Yes,2023-06-19,2019-08-07,5.585,NA,NA,NA,973.5978494623656,0.34,0.35,107_2019_08_07_Level1.csv
108_2019_05_30.csv,108,2019,05,30,csv,Yes,2023-06-19,2019-05-30,5.553,NA,NA,NA,971.8407407407407,3.8,3.8566666666666665,108_2019_05_30_Level1.csv
108_2019_07_16.csv,108,2019,07,16,csv,Yes,2023-06-19,2019-07-16,5.218,NA,NA,NA,973.2539007092198,0.14,0.14,108_2019_07_16_Level1.csv
108_2019_08_07.csv,108,2019,08,07,csv,Yes,2023-06-19,2019-08-07,6.048,NA,NA,NA,974.0390243902439,0.12,0.12666666666666668,108_2019_08_07_Level1.csv
110_2019_06_19.csv,110,2019,06,19,csv,Yes,2023-06-19,2019-06-19,9.32,NA,NA,NA,969.6196868008949,0.06,0.055,110_2019_06_19_Level1.csv
110_2019_07_15.csv,110,2019,07,15,csv,Yes,2023-06-19,2019-07-15,8.408,NA,NA,NA,977.3393483709274,0.11,0.10500000000000001,110_2019_07_15_Level1.csv
110_2019_08_07.csv,110,2019,08,07,csv,Yes,2023-06-19,2019-08-07,9.168,NA,NA,NA,978.0144927536232,0.33,0.3383333333333334,110_2019_08_07_Level1.csv
112_2019_05_30.csv,112,2019,05,30,csv,Yes,2023-06-19,2019-05-30,15.379,NA,NA,NA,980.8322061191627,3.69,3.7083333333333335,112_2019_05_30_Level1.csv
