MULakeNumber,waterBody,waterBodyLatitude_degree,waterBodyLongitude_degree,notes,elevation_m_extract
232,Lick Creek,39.1508,-92.3846,NA,225.08
233,Linneus,39.8872,-93.1994,NA,229.69
234,Malta Bend,39.1759,-93.3852,NA,220.32
235,Redman,39.8743,-94.3656,NA,273.92
236,McCredie,38.9477,-91.9105,NA,250.09
237,Milan (North),40.2002,-93.1048,NA,261.5
238,Monroe (Route J),39.6063,-91.6661,NA,203.26
239,LaBelle City (West),40.0918,-91.9123,NA,209.86
240,North Whetstone,38.9823,-91.7309,NA,232.56
241,Phillips,38.8957,-92.2934,NA,233.83
242,Pike,39.9516,-93.6746,NA,241.23
243,Pin Oak,37.4357,-94.5657,NA,287.44
244,Pine Ridge,39.3987,-92.8011,NA,201.45
245,Poosey 17,39.9221,-93.7168,NA,281.62
246,Poosey 18,39.9281,-93.7087,NA,285.74
247,Poosey 20,39.9282,-93.7014,NA,282.55
248,Johnson,38.7789,-92.6015,NA,249.76
249,Reform 1,38.7605,-91.7957,NA,254.23
250,Santa Fe,40.0362,-92.4763,NA,272.31
251,Sears Community,40.2613,-93.0764,NA,274.54
252,South Farm,38.9039,-92.2781,NA,244.68
253,Tobacco Hill,39.4229,-94.8044,NA,272.26
254,Walter,39.0675,-91.6299,NA,229.65
255,Watershed,40.3,-91.9341,NA,197.03
256,Wellsville City,39.0356,-91.5769,NA,217.02
257,Whitesell,39.0728,-91.6323,NA,235.42
258,Winegar,38.4777,-92.3971,NA,210.03
260,Busch 16,38.7051,-90.7578,NA,194.99
261,Adrian City,38.3907,-94.3364,NA,257.09
263,Brays,37.892,-91.7784,NA,290.3
264,Drexel City,38.4744,-94.6061,NA,293.95
265,Drexel Reservoir,38.4638,-94.6069,NA,295.76
266,Garden City,38.5218,-94.1695,NA,261.5
267,Niangua,37.9356,-92.8504,NA,217.1
268,Nims,37.6384,-90.3307,NA,258.16
269,Shepherd Mountain,37.5919,-90.6579,NA,297.19
270,Vandalia,39.3769,-91.4084,NA,202.39
271,Palmer,37.8227,-90.9217,NA,335.04
272,Perry,39.4239,-91.6747,NA,205.74
273,Odessa (Upper),38.9701,-93.9782,NA,247.47
274,Alpine,38.7496,-91.0812,NA,207.29
275,Ascencio,39.343,-94.8554,NA,269.84
276,Ashland,38.7553,-92.2058,NA,213.17
277,Aspen,38.7576,-91.04,NA,203.39
278,Aspenetter,38.763,-91.0326,NA,203.65
279,Autumn,38.2075,-92.7141,NA,211.52
280,Sherwood (Big Lake),38.6648,-90.9875,NA,189.77
281,Buteo,38.7489,-93.5814,NA,229.71
282,Cardinal,38.761,-91.0089,NA,226.29
283,Castlenovo,38.7669,-91.0509,NA,208.47
284,Charrette,38.7659,-91.023,NA,225.06
285,Clearfork,38.7517,-93.5972,NA,224.05
286,Crystal,39.3567,-94.1914,NA,261.39
287,Doniphan (Lower),38.3239,-94.1965,NA,277.45
288,Doniphan (Upper),39.3274,-94.1953,NA,271.77
289,Eleanor,38.6726,-90.9734,NA,213.36
290,Eureka,38.5159,-90.6429,NA,149.12
291,Foxtail,38.7745,-91.0233,NA,236.61
292,Good Oak,38.1982,-92.7169,NA,215.67
293,Innsbrook,38.7684,-91.0545,NA,204.28
294,January Wabash,38.7528,-90.3111,NA,168.98
295,Jennings,38.7384,-90.2583,NA,137.72
296,Konstanz,38.7624,-91.074,NA,216.91
297,Lake of the Woods,38.9954,-94.5206,NA,238.49
298,Ste. Louise,38.7994,-90.7911,NA,165.78
299,Lakeview,39.1546,-91.89,NA,240.47
300,Lucern,38.7756,-91.0595,NA,211.58
301,Penn Valley,39.0783,-94.5927,NA,252.19
302,Red Fox,38.7717,-91.0255,NA,232.36
304,Robin Hood,38.674,-90.9874,NA,197.51
305,Scheffborg,38.786,-91.0583,NA,221.16
306,Simpson,38.5581,-90.4639,NA,122.73
307,St. Gallen,38.75,-91.0301,NA,222.46
308,Stephens,38.9511,-92.3085,NA,209.96
309,Sugar Hollow,38.6714,-90.9777,NA,198.16
310,Treeline,38.1933,-92.7351,NA,214.9
311,Troost,39.0754,-94.5646,NA,274.92
312,Trophy,38.7742,-91.0274,NA,228.48
313,Wanderfern,38.7671,-91.0729,NA,207.46
314,Waterworks,39.4162,-92.4646,NA,246.1
315,Whippoorwill,38.7654,-91.0339,NA,213.58
316,Wood,38.9956,-92.2153,NA,260.26
317,Buffalo Bill,39.8155,-94.3832,NA,290.64
318,Apollo,37.8158,-90.491,NA,285
320,Quarry Heights,38.9413,-92.3448,NA,194.98
322,Whitecliff,38.5561,-90.3688,NA,155.6
323,Wyandote,39.1679,-94.7786,NA,253.17
400,Woodrail,38.9214,-92.3581,NA,197
402,Flat Creek,36.6595,-93.8868,NA,406.93
403,Mallard,38.7024,-90.4946,NA,134.73
404,Novus,38.7094,-90.6817,NA,169.22
405,Pierson,39.0679,-94.7119,NA,256.26
406,Riss,39.2005,-94.6767,NA,266.76
407,Roaring River,36.555,-93.7699,NA,285.35
408,Big Eleven,39.1182,-94.6368,NA,251.84
409,Carondelet Boathouse,38.5624,-90.2666,NA,146.12
410,Caswell,38.8966,-92.3512,NA,207.09
411,Cedar,38.8966,-92.3512,NA,207.09
412,Barry Harbor,39.2428,-94.6045,NA,302.18
413,Jaycee,38.5625,-92.2684,NA,231.96
414,Crowder,40.0959,-93.6606,NA,232.72
415,Ethel,39.8872,-92.7527,NA,253.42
416,Leisure (Grundy Co),40.1104,-93.7273,NA,244.77
417,Middle Fork Water,40.2886,-94.4329,NA,271.09
418,Bass,38.8391,-91.7668,NA,219.56
419,Butterfly,37.788,-90.9259,NA,372.3
420,Daizy Valley,38.4743,-91.3901,NA,216.45
421,Leisure (Callaway Co),38.8978,-91.8209,NA,205.79
422,Lochaweeno,38.8285,-91.7632,NA,211.28
423,Port Hudson,38.4735,-91.2678,NA,213.27
424,Iron Mountain,37.693,-90.6225,NA,323.25
425,Kellogg,37.1875,-94.2934,NA,288.2
426,Potosi,37.8823,-90.6806,NA,264.65
