dateTime_Round,chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,waterPressure_barA,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,date,dateTime,MULakeNumber
2021-07-21T09:14:27Z,2.3066666666666666,3.1456666666666666,114.26666666666667,8.92,161.66666666666666,0.307,0.13,273.23333333333335,0.59,178,1.4266666666666665,8.23,28.111333333333334,3.1573333333333333,38.21104,-92.63097,200.96666666666667,996.0333333333333,2021-07-21,2021-07-21T09:14:27Z,149
2021-07-21T09:14:30Z,2.32,3.157,113.73333333333333,8.88,161.8,0.30833333333333335,0.13,273.3,0.5766666666666667,178,1.4533333333333334,8.23,28.108333333333334,3.2176666666666667,38.21104,-92.63097,200.83333333333334,996.1,2021-07-21,2021-07-21T09:14:30Z,149
2021-07-21T09:14:33Z,2.3166666666666664,3.1823333333333332,113.3,8.85,161.9,0.311,0.13,273.3,0.5766666666666667,178,1.4566666666666666,8.23,28.107333333333333,3.343,38.21104,-92.63097,200.63333333333333,996.0333333333333,2021-07-21,2021-07-21T09:14:33Z,149
2021-07-21T09:14:36Z,2.3233333333333333,3.219333333333333,113.13333333333333,8.833333333333334,161.93333333333334,0.31466666666666665,0.13,273.3,0.58,178,1.4266666666666665,8.223333333333334,28.106666666666666,3.4093333333333335,38.21104333333333,-92.63097,200.4,996.1,2021-07-21,2021-07-21T09:14:36Z,149
2021-07-21T09:14:39Z,2.3033333333333332,3.2566666666666664,113.1,8.83,162,0.31833333333333336,0.13,273.3,0.58,178,1.4466666666666665,8.22,28.105333333333334,3.55,38.21104333333333,-92.63097,200.03333333333333,996.0666666666667,2021-07-21,2021-07-21T09:14:39Z,149
2021-07-21T09:14:42Z,2.27,3.307,113.2,8.84,161.96666666666667,0.32333333333333336,0.13,273.3,0.58,178,1.4566666666666666,8.22,28.103666666666665,3.6886666666666668,38.21104,-92.63097,199.73333333333335,996.0333333333333,2021-07-21,2021-07-21T09:14:42Z,149
2021-07-21T09:14:45Z,2.2133333333333334,3.360333333333333,113.3,8.846666666666666,161.9,0.328,0.13,273.3,0.58,178,1.4466666666666665,8.22,28.101,3.8346666666666667,38.21104,-92.63097,199.53333333333333,996.0333333333333,2021-07-21,2021-07-21T09:14:45Z,149
2021-07-21T09:14:48Z,2.29,3.4156666666666666,113.3,8.846666666666666,162,0.334,0.13,273.3,0.57,178,1.43,8.22,28.098,3.9566666666666666,38.21104,-92.63096666666667,199.03333333333333,996.0333333333333,2021-07-21,2021-07-21T09:14:48Z,149
2021-07-21T09:14:51Z,2.276666666666667,4.187,113.06666666666666,8.83,162.06666666666666,0.4093333333333333,0.13,273.4,0.57,178,1.4366666666666665,8.22,28.094666666666665,4.179666666666667,38.21104,-92.63096,198.76666666666665,996.0333333333333,2021-07-21,2021-07-21T09:14:51Z,149
2021-07-21T09:14:54Z,2.2766666666666664,4.209666666666666,112.6,8.793333333333333,162.16666666666666,0.41133333333333333,0.13,273.5,0.5533333333333333,178,1.4366666666666665,8.22,28.092,4.222,38.21104,-92.63096,198.73333333333332,996.0666666666667,2021-07-21,2021-07-21T09:14:54Z,149
2021-07-21T09:14:57Z,2.2966666666666664,4.24,112.06666666666666,8.75,162.26666666666668,0.414,0.13,273.56666666666666,0.55,178,1.3866666666666667,8.216666666666667,28.090333333333334,4.282333333333333,38.21104,-92.63096,198.33333333333334,996,2021-07-21,2021-07-21T09:14:57Z,149
2021-07-21T09:15:00Z,2.2966666666666664,4.286,111.56666666666666,8.71,162.36666666666667,0.41866666666666663,0.13,273.6,0.54,178,1.3933333333333333,8.21,28.089,4.401666666666666,38.21104,-92.63096,197.63333333333333,996.0666666666667,2021-07-21,2021-07-21T09:15:00Z,149
2021-07-21T09:15:03Z,2.256666666666667,4.340333333333334,111.16666666666667,8.68,162.53333333333333,0.424,0.13,273.6333333333333,0.52,178,1.3633333333333333,8.206666666666667,28.088666666666665,4.537333333333334,38.21104,-92.63096,197.23333333333335,996,2021-07-21,2021-07-21T09:15:03Z,149
2021-07-21T09:15:06Z,2.1733333333333333,4.402,110.6,8.64,162.76666666666668,0.43,0.13,273.73333333333335,0.5,178,1.33,8.2,28.086666666666666,4.642,38.21103333333333,-92.63095333333334,196.73333333333332,996.1,2021-07-21,2021-07-21T09:15:06Z,149
2021-07-21T09:15:09Z,2.11,4.455333333333333,109.9,8.583333333333334,163,0.43533333333333335,0.13,273.8333333333333,0.48333333333333334,178,1.3066666666666666,8.19,28.085,4.7316666666666665,38.21103,-92.63095,196.4,996.0666666666667,2021-07-21,2021-07-21T09:15:09Z,149
2021-07-21T09:15:12Z,2.046666666666667,4.51,108.96666666666667,8.513333333333334,163.3,0.44066666666666665,0.13,273.96666666666664,0.4666666666666667,178,1.3233333333333335,8.18,28.082666666666665,4.864,38.211036666666665,-92.63095,196.3,996.0666666666667,2021-07-21,2021-07-21T09:15:12Z,149
2021-07-21T09:15:15Z,2.02,4.567666666666667,107.83333333333333,8.423333333333334,163.6,0.446,0.13,274.1666666666667,0.45333333333333337,178,1.3066666666666666,8.166666666666666,28.079333333333334,5.001666666666666,38.21104,-92.63095,196.36666666666667,996.0333333333333,2021-07-21,2021-07-21T09:15:15Z,149
2021-07-21T09:15:18Z,1.9866666666666666,4.851333333333334,104.36666666666667,8.153333333333332,163.93333333333334,0.47433333333333333,0.13,274.3333333333333,0.43,178,1.3133333333333335,8.153333333333334,28.076,5.213333333333334,38.21104,-92.63095666666666,196.43333333333334,996.0666666666667,2021-07-21,2021-07-21T09:15:18Z,149
2021-07-21T09:15:21Z,1.94,5.484,101.66666666666667,7.946666666666667,164.36666666666667,0.536,0.13,274.46666666666664,0.4,178,1.31,8.076666666666666,28.072333333333333,5.459,38.21104,-92.63096,196.5,996.0333333333333,2021-07-21,2021-07-21T09:15:21Z,149
2021-07-21T09:15:24Z,1.8933333333333333,5.552666666666667,100.2,7.83,164.9,0.5426666666666667,0.13,274.7,0.38333333333333336,179,1.2866666666666666,8.023333333333333,28.067,5.516666666666667,38.21104666666667,-92.63096666666667,196.33333333333334,996,2021-07-21,2021-07-21T09:15:24Z,149
2021-07-21T09:15:27Z,1.8733333333333333,5.545333333333334,99.1,7.743333333333333,165.4,0.5416666666666667,0.13,274.9,0.37333333333333335,179,1.2633333333333334,8.016666666666666,28.062,5.543,38.21105,-92.63097,196.7,996.0666666666667,2021-07-21,2021-07-21T09:15:27Z,149
2021-07-21T09:15:30Z,1.86,5.554,98.16666666666667,7.67,165.86666666666667,0.5426666666666667,0.13,275.1333333333333,0.37,179,1.24,8.006666666666666,28.057333333333332,5.596333333333334,38.21105,-92.63097,196.7,995.9666666666667,2021-07-21,2021-07-21T09:15:30Z,149
2021-07-21T09:15:33Z,1.8866666666666665,5.5713333333333335,97.33333333333333,7.61,166.3,0.5443333333333333,0.13,275.3,0.36,179,1.2333333333333334,8,28.054666666666666,5.652333333333333,38.21104,-92.63097,196.63333333333333,995.8333333333333,2021-07-21,2021-07-21T09:15:33Z,149
2021-07-21T09:15:36Z,1.9,5.598,96.13333333333333,7.513333333333334,166.7,0.547,0.13,275.4,0.35333333333333333,179,1.2366666666666666,7.993333333333333,28.053666666666665,5.726999999999999,38.21104,-92.63097,196.06666666666666,996.0333333333333,2021-07-21,2021-07-21T09:15:36Z,149
2021-07-21T09:15:39Z,1.9133333333333333,5.638333333333334,94.9,7.42,167,0.551,0.13,275.5,0.36,179,1.2366666666666666,7.99,28.053,5.911,38.21104,-92.63097,195.86666666666667,996,2021-07-21,2021-07-21T09:15:39Z,149
2021-07-21T09:15:42Z,1.88,5.697666666666667,93.9,7.336666666666667,167.3,0.557,0.13,275.56666666666666,0.36,179,1.2233333333333334,7.986666666666667,28.050666666666665,6.114333333333334,38.21104,-92.63097,195.7,996.1,2021-07-21,2021-07-21T09:15:42Z,149
2021-07-21T09:15:45Z,1.85,5.766333333333334,91.86666666666667,7.18,167.53333333333333,0.5633333333333334,0.13,275.6666666666667,0.35333333333333333,179,1.2366666666666666,7.98,28.043333333333333,6.301,38.21104,-92.63097,195.66666666666666,996.0333333333333,2021-07-21,2021-07-21T09:15:45Z,149
2021-07-21T09:15:48Z,1.79,6.4816666666666665,88.06666666666666,6.886666666666667,167.7,0.6333333333333333,0.13,275.9,0.34,179,1.2133333333333334,7.973333333333334,28.02733333333333,6.494666666666666,38.21104,-92.63097,195.73333333333335,996.1,2021-07-21,2021-07-21T09:15:48Z,149
2021-07-21T09:15:51Z,1.6866666666666665,6.626,85.86666666666666,6.713333333333333,167.9,0.6476666666666667,0.13,276.2,0.31666666666666665,179.66666666666666,1.2033333333333334,7.956666666666667,28.001,6.690666666666667,38.21104,-92.63097,195.6,996.0333333333333,2021-07-21,2021-07-21T09:15:51Z,149
2021-07-21T09:15:54Z,1.4066666666666667,6.761,81.06666666666666,6.346666666666667,168.23333333333332,0.6606666666666667,0.13,276.5333333333333,0.29,180,1.1766666666666665,7.913333333333333,27.966,6.922,38.21104,-92.63097,195.63333333333333,996.0333333333333,2021-07-21,2021-07-21T09:15:54Z,149
2021-07-21T09:15:57Z,1.0833333333333333,6.875,76.16666666666667,5.966666666666667,168.63333333333333,0.6716666666666667,0.13,276.9,0.26,180,1.1466666666666665,7.823333333333333,27.926333333333332,7.084666666666666,38.21104,-92.63097,195.93333333333334,996,2021-07-21,2021-07-21T09:15:57Z,149
2021-07-21T09:16:00Z,1.15,6.973333333333334,74.03333333333333,5.803333333333333,169.13333333333333,0.681,0.13,277.1,0.22333333333333333,180,1.1333333333333333,7.803333333333333,27.888,7.299666666666666,38.21105,-92.63097,196.13333333333333,996.0333333333333,2021-07-21,2021-07-21T09:16:00Z,149
2021-07-21T09:16:06Z,1.0633333333333335,7.115333333333333,67.53333333333333,5.303333333333334,170.16666666666666,0.6953333333333332,0.13,277.3,0.14333333333333334,180,1.0533333333333335,7.78,27.827333333333332,7.367333333333334,38.21105,-92.63097,196.33333333333334,996.0333333333333,2021-07-21,2021-07-21T09:16:06Z,149
2021-07-21T09:16:09Z,1.0233333333333334,7.16,66.7,5.233333333333333,170.66666666666666,0.6996666666666667,0.13,277.3,0.11333333333333333,180,1.0366666666666666,7.773333333333333,27.808666666666667,7.423,38.21105,-92.63097,196.63333333333333,996.0333333333333,2021-07-21,2021-07-21T09:16:09Z,149
2021-07-21T09:16:12Z,0.9866666666666667,7.202333333333334,66,5.183333333333334,171.1,0.7036666666666667,0.13,277.23333333333335,0.09,180,1.02,7.766666666666667,27.794666666666668,7.5489999999999995,38.21105,-92.63097,196.5,996,2021-07-21,2021-07-21T09:16:12Z,149
2021-07-21T09:16:15Z,0.9566666666666667,7.2476666666666665,65.5,5.14,171.43333333333334,0.7083333333333333,0.13,277.2,0.07,180,1,7.76,27.783333333333335,7.613333333333333,38.21105,-92.63098,196.53333333333333,996.0666666666667,2021-07-21,2021-07-21T09:16:15Z,149
2021-07-21T09:16:18Z,0.94,7.2973333333333334,65.06666666666666,5.1066666666666665,171.8,0.713,0.13,277.1333333333333,0.05333333333333334,180,1,7.75,27.774333333333335,7.796,38.21105,-92.63098,196.83333333333334,996,2021-07-21,2021-07-21T09:16:18Z,149
2021-07-21T09:16:21Z,0.93,7.350666666666666,64.26666666666667,5.05,172,0.7183333333333333,0.13,277.03333333333336,0.04666666666666667,180,1.04,7.743333333333333,27.766666666666666,7.863,38.21105,-92.63098,197.2,996.0666666666667,2021-07-21,2021-07-21T09:16:21Z,149
2021-07-21T09:16:24Z,0.9266666666666667,7.3966666666666665,63.6,4.996666666666667,172.16666666666666,0.7226666666666667,0.13,277,0.04,180,1.0266666666666666,7.73,27.759333333333334,7.883333333333333,38.21105,-92.63098,197.23333333333332,996,2021-07-21,2021-07-21T09:16:24Z,149
2021-07-21T09:16:27Z,0.9366666666666666,7.444,63.06666666666667,4.956666666666667,172.33333333333334,0.7273333333333333,0.13,276.96666666666664,0.04,180,0.9866666666666667,7.716666666666667,27.753,7.9576666666666664,38.21105,-92.63098333333333,197.4,996,2021-07-21,2021-07-21T09:16:27Z,149
2021-07-21T09:16:30Z,0.9133333333333333,7.900666666666667,62.56666666666667,4.916666666666667,172.46666666666667,0.772,0.13,276.9,0.03333333333333333,180,0.9633333333333333,7.706666666666667,27.748,8.105,38.21105,-92.63099,197.56666666666666,996.0666666666667,2021-07-21,2021-07-21T09:16:30Z,149
2021-07-21T09:16:33Z,0.9133333333333333,8.256666666666666,62,4.876666666666667,172.63333333333333,0.8066666666666668,0.13,276.9,0.03,180,0.94,7.693333333333333,27.743333333333332,8.251666666666667,38.21105,-92.63098,197.53333333333333,996.0333333333333,2021-07-21,2021-07-21T09:16:33Z,149
2021-07-21T09:16:36Z,0.89,8.334,61.5,4.833333333333333,172.76666666666668,0.8143333333333334,0.13,277,0.03666666666666667,180,0.9266666666666667,7.683333333333334,27.739666666666665,8.390333333333333,38.21105,-92.63098,197.33333333333334,996.0333333333333,2021-07-21,2021-07-21T09:16:36Z,149
2021-07-21T09:16:39Z,0.8666666666666667,8.401,60.9,4.786666666666666,172.86666666666667,0.8206666666666667,0.13,277,0.03333333333333333,180,0.9433333333333332,7.676666666666667,27.734,8.478,38.21105,-92.63098,197.4,996.0666666666667,2021-07-21,2021-07-21T09:16:39Z,149
2021-07-21T09:16:42Z,0.8466666666666667,8.455,60.333333333333336,4.743333333333333,172.93333333333334,0.826,0.13,277,0.026666666666666665,180,0.9766666666666667,7.666666666666667,27.727333333333334,8.61,38.21105,-92.63097666666667,197.6,995.9666666666667,2021-07-21,2021-07-21T09:16:42Z,149
2021-07-21T09:16:45Z,0.8266666666666667,8.505,59.6,4.6866666666666665,173.03333333333333,0.831,0.13,277.06666666666666,0.016666666666666666,180,0.9866666666666667,7.66,27.719,8.683666666666667,38.21105,-92.63097,197.83333333333334,996,2021-07-21,2021-07-21T09:16:45Z,149
2021-07-21T09:16:48Z,0.8066666666666666,8.560333333333332,54.266666666666666,4.266666666666667,173.16666666666666,0.8363333333333333,0.13,277.2,0.01,180,0.9766666666666667,7.65,27.70733333333333,8.815,38.21105,-92.63097,198,996.0333333333333,2021-07-21,2021-07-21T09:16:48Z,149
2021-07-21T09:16:51Z,0.7766666666666667,8.611666666666666,52.06666666666666,4.096666666666667,173.26666666666668,0.8416666666666667,0.13,277.3666666666667,-0.0033333333333333335,180,0.96,7.64,27.695,8.894333333333334,38.21105,-92.63097,198.23333333333332,996.0333333333333,2021-07-21,2021-07-21T09:16:51Z,149
